"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"charge"	"modifications"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"neg-Exp1_K-1-24_1-E,1_01_55195"	"neg-Exp1_K-25-48_1-E,3_01_55198"	"neg-Exp1_K-49-72_1-E,5_01_55201"	"neg-Exp1_K-73-96_1-E,7_01_55204"	"neg-Exp1_K-97-120_1-F,1_01_55207"	"neg_Exp2_K01_1-C,1_01_342"	"neg_Exp2_K02_1-C,5_01_347"	"neg_Exp2_K03_1-D,1_01_352"	"neg_Exp2_K04_1-D,5_01_358"	"neg-Exp1_P-1-24_1-E,2_01_55196"	"neg-Exp1_P-25-48_1-E,4_01_55199"	"neg-Exp1_P-49-72_1-E,6_01_55202"	"neg-Exp1_P-73-96_1-E,8_01_55205"	"neg-Exp1_P-97-120_1-F,2_01_55208"	"neg_Exp2_P1_1-C,2_01_343"	"neg_Exp2_P2_1-C,6_01_348"	"neg_Exp2_P3_1-D,2_01_353"	"neg_Exp2_P4_1-D,6_01_359"	"neg_Exp2_P5_1-E,1_01_364"
""	""	""	""	""	" 644.3462"	""	""	""	"293.05106"	""	""	""	""	""	""	""	""	""	""	""	"2.891306e+03"	"1.986141e+03"	"1.541324e+03"	"2.129782e+03"	"1.750585e+03"	"2.670634e+02"	"2.238456e+02"	"2.375499e+02"	"2.767946e+02"	"8.772585e+03"	"1.011475e+04"	"1.279808e+04"	"1.468917e+04"	"   9210.9909"	"  3179.64916"	"  4854.12247"	"1.429286e+03"	"  5395.43392"	"4.563418e+03"
""	""	""	""	""	" 645.1857"	""	""	""	" 54.08640"	""	""	""	""	""	""	""	""	""	""	""	"3.524391e+04"	"3.702364e+04"	"3.819538e+04"	"3.095732e+04"	"3.324076e+04"	"2.104188e+03"	"1.542002e+03"	"1.748689e+03"	"1.454749e+03"	"2.690449e+05"	"1.853513e+05"	"2.068657e+05"	"3.135236e+05"	" 242862.4575"	" 46585.12181"	" 35296.44568"	"1.577525e+04"	" 35884.23218"	"4.029360e+04"
""	""	""	""	""	" 645.2704"	""	""	""	"184.69638"	""	""	""	""	""	""	""	""	""	""	""	"2.176439e+03"	"1.484001e+03"	"1.793532e+03"	"1.055043e+03"	"1.704209e+03"	"3.118848e+02"	"2.895359e+02"	"4.375175e+02"	"3.721919e+02"	"2.932504e+04"	"2.659503e+04"	"3.129677e+04"	"3.767845e+04"	"  33389.2127"	" 10479.35550"	" 11513.77364"	"2.922586e+03"	" 13099.59642"	"1.012639e+04"
""	""	""	""	""	" 645.2756"	""	""	""	"339.13343"	""	""	""	""	""	""	""	""	""	""	""	"2.429704e+04"	"1.290787e+04"	"1.463546e+04"	"2.051323e+04"	"1.203250e+04"	"2.251774e+03"	"3.240406e+03"	"3.082094e+03"	"2.921652e+03"	"1.176850e+05"	"1.111985e+05"	"7.635420e+04"	"1.249354e+05"	"  57672.8531"	" 18341.09708"	" 14381.62380"	"8.176821e+03"	" 21462.08938"	"1.882729e+04"
""	""	""	""	""	" 645.3146"	""	""	""	"174.93438"	""	""	""	""	""	""	""	""	""	""	""	"1.830183e+03"	"1.554985e+03"	"1.633318e+03"	"1.474439e+03"	"1.504089e+03"	"2.831946e+02"	"2.658493e+02"	"2.311068e+02"	"2.311588e+02"	"4.396160e+04"	"4.386121e+04"	"4.140934e+04"	"3.755210e+04"	"  36385.5160"	"  8426.83793"	"  9608.37726"	"2.545028e+03"	" 13183.29114"	"8.748514e+03"
""	""	""	""	""	" 645.6870"	""	""	""	" 54.08136"	""	""	""	""	""	""	""	""	""	""	""	"1.691623e+04"	"1.852339e+04"	"1.889481e+04"	"1.446715e+04"	"1.426728e+04"	"4.385625e+02"	"3.218880e+02"	"5.376665e+02"	"4.118959e+02"	"1.363758e+05"	"9.728509e+04"	"1.070761e+05"	"1.678520e+05"	" 129844.4359"	" 23879.50605"	" 16668.98566"	"6.926959e+03"	" 16972.91129"	"2.037024e+04"
""	""	""	""	""	" 646.2385"	""	""	""	"247.07397"	""	""	""	""	""	""	""	""	""	""	""	"3.166413e+03"	"2.432129e+03"	"2.276568e+03"	"3.000946e+03"	"2.126133e+03"	"4.654264e+02"	"4.795442e+02"	"4.796593e+02"	"4.440216e+02"	"2.298366e+04"	"2.644205e+04"	"2.651361e+04"	"3.072220e+04"	"  38323.2740"	"  4217.42362"	"  4019.88000"	"1.086675e+03"	"  5914.22569"	"3.758659e+03"
""	""	""	""	""	" 646.2516"	""	""	""	"547.92883"	""	""	""	""	""	""	""	""	""	""	""	"1.738152e+03"	"2.578841e+03"	"3.533305e+03"	"2.271962e+03"	"2.491285e+03"	"7.182408e+02"	"7.241491e+02"	"8.500683e+02"	"7.601889e+02"	"3.221383e+03"	"2.864514e+03"	"3.445162e+03"	"2.975012e+03"	"   2224.0800"	"   353.77598"	"   303.95929"	"2.720396e+02"	"   549.34936"	"3.218714e+02"
""	""	""	""	""	" 646.3338"	""	""	""	"184.36216"	""	""	""	""	""	""	""	""	""	""	""	"2.053453e+03"	"1.770658e+03"	"1.167960e+03"	"1.596457e+03"	"1.655059e+03"	"3.605892e+02"	"3.803040e+02"	"2.194257e+02"	"4.291888e+02"	"1.317481e+05"	"1.408051e+05"	"1.178610e+05"	"1.024162e+05"	" 101139.5572"	" 13283.28480"	" 19677.41356"	"3.272206e+03"	" 34755.83280"	"1.391412e+04"
""	""	""	""	""	" 646.3347"	""	""	""	"333.02964"	""	""	""	""	""	""	""	""	""	""	""	"2.945316e+03"	"1.171390e+03"	"1.139733e+03"	"1.875742e+03"	"1.219784e+03"	"1.793961e+02"	"1.494080e+02"	"1.364424e+02"	"1.893712e+02"	"1.488222e+04"	"1.506752e+04"	"1.314787e+04"	"8.734394e+03"	"   8842.3937"	"  1497.53040"	"  1788.36400"	"3.261630e+02"	"  4390.42463"	"1.358970e+03"
""	""	""	""	""	" 646.7323"	""	""	""	"247.07397"	""	""	""	""	""	""	""	""	""	""	""	"9.530852e+02"	"5.965208e+02"	"3.498511e+02"	"4.019373e+02"	"4.738098e+02"	"9.772187e+01"	"1.097287e+02"	"9.670617e+01"	"1.741256e+02"	"1.503225e+04"	"1.721348e+04"	"1.786302e+04"	"1.961069e+04"	"  23898.0979"	"  1624.81947"	"  2708.53004"	"5.617824e+02"	"  3559.45672"	"1.637783e+03"
""	""	""	""	""	" 647.2464"	""	""	""	" 53.87958"	""	""	""	""	""	""	""	""	""	""	""	"5.538737e+03"	"5.066703e+03"	"4.884426e+03"	"4.437456e+03"	"4.434600e+03"	"1.395438e+03"	"8.733415e+02"	"8.099646e+02"	"8.272178e+02"	"5.143069e+04"	"4.815449e+04"	"4.654653e+04"	"5.320074e+04"	"  57463.0460"	" 11129.33771"	" 12308.88968"	"3.189125e+03"	" 10984.65156"	"9.829729e+03"
""	""	""	""	""	" 647.3256"	""	""	""	"184.20068"	""	""	""	""	""	""	""	""	""	""	""	"1.101871e+03"	"1.444703e+03"	"9.699537e+02"	"7.205914e+02"	"1.835575e+03"	"2.992093e+02"	"1.517880e+02"	"3.674435e+02"	"2.521260e+02"	"4.946074e+04"	"5.356052e+04"	"4.488618e+04"	"3.769500e+04"	"  35588.1728"	"  7579.69650"	"  9179.86358"	"2.918625e+03"	" 14788.15440"	"8.006066e+03"
""	""	""	""	""	" 647.3759"	""	""	""	"537.67142"	""	""	""	""	""	""	""	""	""	""	""	"3.107620e+03"	"2.367466e+03"	"1.841641e+03"	"2.393345e+03"	"1.792370e+03"	"1.170411e+03"	"1.441152e+03"	"1.142605e+03"	"1.272151e+03"	"7.256486e+02"	"0.000000e+00"	"0.000000e+00"	"2.971876e+02"	"   1201.4425"	"   506.22264"	"   609.88005"	"5.258880e+02"	"   517.32054"	"6.365560e+02"
