"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"charge"	"modifications"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"neg-Exp1-Blatt_K-1_1-B,1_01_8102"	"neg-Exp1-Blatt_K-2_1-B,2_01_8104"	"neg-Exp1-Blatt_K-3_1-B,3_01_8107"	"neg-Exp1-Blatt_K-4_1-B,4_01_8109"	"neg-Exp1-Blatt_K-5_1-B,5_01_8111"	"neg-Exp2-Blatt_K-1_1-D,1_01_8113"	"neg-Exp2-Blatt_K-2_1-D,2_01_8115"	"neg-Exp2-Blatt_K-3_1-D,3_01_8117"	"neg-Exp1-Blatt_P-1_1-C,1_01_8103"	"neg-Exp1-Blatt_P-2_1-C,2_01_8105"	"neg-Exp1-Blatt_P-3_1-C,3_01_8108"	"neg-Exp1-Blatt_P-4_1-C,4_01_8110"	"neg-Exp1-Blatt_P-5_1-C,5_01_8112"	"neg-Exp2-Blatt_P-1_1-E,1_01_8114"	"neg-Exp2-Blatt_P-2_1-E,2_01_8116"	"neg-Exp2-Blatt_P-3_1-E,3_01_8118"	"neg-Exp2-Blatt_P-4_1-E,4_01_8121"	"neg-Exp2-Blatt_P-5_1-E,5_01_8122"
""	""	""	""	""	"195.0351"	""	""	""	"  37.14128"	""	""	""	""	""	""	""	""	""	""	""	"   2255.8840"	"   3683.2907"	"2.576615e+03"	"   3074.2814"	"   2579.3083"	"2.816400e+03"	"   4081.7952"	"2.647676e+03"	"   2166.4332"	"   1801.2791"	"   1175.2350"	"   1616.8688"	"   1599.9722"	"    963.9420"	"   1551.3457"	"   1527.6388"	"   1736.6806"	"   1677.0020"
""	""	""	""	""	"196.0633"	""	""	""	" 188.77708"	""	""	""	""	""	""	""	""	""	""	""	"   1543.5935"	"   2504.1593"	"2.231142e+03"	"   2571.2085"	"   2307.3044"	"2.113056e+03"	"   2854.3070"	"1.798036e+03"	"   2586.6260"	"   2105.6014"	"   3036.1681"	"   2340.1872"	"   2700.7700"	"   2788.7270"	"   2567.7598"	"   2968.3710"	"   3159.3047"	"   2711.3197"
""	""	""	""	""	"197.9142"	""	""	""	"  29.18681"	""	""	""	""	""	""	""	""	""	""	""	"  27498.0909"	"  26194.4042"	"2.608566e+04"	"  24346.6938"	"  26382.5510"	"2.805817e+04"	"  26894.4097"	"2.694454e+04"	"  11387.7517"	"   7655.2581"	"   9804.8362"	"  14443.3520"	"  11227.1750"	"  14807.9481"	"  14452.8225"	"  12800.1452"	"  13530.5472"	"  10093.6959"
""	""	""	""	""	"199.0977"	""	""	""	" 280.44794"	""	""	""	""	""	""	""	""	""	""	""	"   4771.0294"	"   5286.9471"	"3.879615e+03"	"   2856.3459"	"   4237.5304"	"3.557016e+03"	"   4478.8297"	"4.444399e+03"	"   1221.2828"	"    964.7438"	"    771.7521"	"   1753.7713"	"    814.1017"	"   1736.0008"	"   1137.3658"	"   1288.1610"	"   1164.1254"	"   1133.8934"
""	""	""	""	""	"199.9809"	""	""	""	"  42.11128"	""	""	""	""	""	""	""	""	""	""	""	"   1800.0254"	"   1969.4525"	"2.158497e+03"	"   1837.2430"	"   1816.0095"	"2.411548e+03"	"   2037.6728"	"2.464281e+03"	"   6555.2620"	"   8128.1487"	"  10854.7989"	"   8607.4523"	"   9961.2902"	"   4220.6227"	"   6146.7661"	"   4871.4402"	"   5711.8454"	"   7527.1500"
""	""	""	""	""	"201.9961"	""	""	""	"  43.45360"	""	""	""	""	""	""	""	""	""	""	""	"   1327.3450"	"   1500.0043"	"4.416246e+02"	"    993.4965"	"   1082.8745"	"1.155048e+03"	"    942.3966"	"8.029315e+02"	"   2017.3525"	"    947.8034"	"   1843.2137"	"   1287.5419"	"   1217.2069"	"   1555.3411"	"   2041.6800"	"   2038.5440"	"   2211.1162"	"   3051.8030"
""	""	""	""	""	"203.0832"	""	""	""	" 147.82421"	""	""	""	""	""	""	""	""	""	""	""	"   5678.0640"	"   3243.2469"	"4.925744e+03"	"   2885.0863"	"   2376.8316"	"4.811017e+03"	"   4017.6638"	"2.817298e+03"	"   6531.7076"	"   6284.9787"	"   6281.9348"	"   7775.2214"	"   9719.2733"	"   4455.3796"	"  10601.5723"	"   3432.3724"	"   4522.1202"	"   3277.5678"
""	""	""	""	""	"204.9852"	""	""	""	"  23.72387"	""	""	""	""	""	""	""	""	""	""	""	"   1535.4406"	"   1538.3116"	"1.659482e+03"	"   2001.4902"	"   1767.5597"	"2.100375e+03"	"   1810.9104"	"1.753708e+03"	"   2246.4710"	"   2729.8533"	"   1823.2720"	"   1991.1706"	"   2199.1685"	"   2521.8657"	"   2858.9642"	"   1403.0674"	"   2685.8250"	"   2831.0086"
""	""	""	""	""	"205.0511"	""	""	""	" 220.45025"	""	""	""	""	""	""	""	""	""	""	""	"  40901.3761"	"  38590.8369"	"3.895846e+04"	"  31929.6397"	"  41198.0809"	"3.243097e+04"	"  40033.3873"	"3.798230e+04"	"  34214.1829"	"  35177.0551"	"  38767.9183"	"  31136.0272"	"  28988.4523"	"  28182.7848"	"  26004.5934"	"  23754.0832"	"  27639.2931"	"  30207.7326"
""	""	""	""	""	"205.1233"	""	""	""	" 379.98683"	""	""	""	""	""	""	""	""	""	""	""	"   2425.1312"	"   2555.3966"	"2.288144e+03"	"   2164.9517"	"   1852.7569"	"1.828703e+03"	"   2222.8698"	"1.837447e+03"	"   2565.7951"	"   2095.8821"	"   2707.5241"	"   2388.0503"	"   2452.3305"	"   2269.4742"	"   1453.7984"	"   2343.5045"	"   2408.2060"	"   2558.6972"
