"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"charge"	"modifications"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"neg_Exp1-K1_2-C,1_01_7421.d"	"neg_Exp1-K2_2-C,3_01_7423.d"	"neg_Exp1-K3_2-C,5_01_7425.d"	"neg_Exp1-K4_2-C,7_01_7427.d"	"neg_Exp1-K5_2-D,1_01_7429.d"	"neg_Exp2-K1_2-E,1_01_7432.d"	"neg_Exp2-K2_2-E,3_01_7434.d"	"neg_Exp2-K2_2-E,3_01_7438.d"	"neg_Exp2-K3_2-E,5_01_7436.d"	"neg_Exp2-K3_2-E,5_01_7440.d"	"neg_Exp1-P1_2-C,2_01_7422.d"	"neg_Exp1-P2_2-C,4_01_7424.d"	"neg_Exp1-P3_2-C,6_01_7426.d"	"neg_Exp1-P4_2-C,8_01_7428.d"	"neg_Exp1-P5_2-D,2_01_7430.d"	"neg_Exp2-P1_2-E,2_01_7433.d"	"neg_Exp2-P2_2-E,4_01_7435.d"	"neg_Exp2-P3_2-E,6_01_7437.d"	"neg_Exp2-P4_2-E,7_01_7439.d"	"neg_Exp2-P5_2-E,8_01_7441.d"
""	""	""	""	""	" 463.24694"	""	""	""	" 550.73687"	""	""	""	""	""	""	""	""	""	""	""	"1.995664e+04"	"1.479892e+04"	"2.059827e+04"	"1.762141e+04"	"3.484581e+03"	"2.361411e+04"	"2.142883e+04"	"2.105911e+04"	"2.624691e+04"	"2.646909e+04"	"2.036711e+04"	"1.494072e+04"	"1.925721e+04"	"2.365109e+04"	"1.393180e+04"	"8.111784e+03"	"   8754.3658"	"6.776209e+03"	"4.809850e+03"	"4.084237e+03"
""	""	""	""	""	" 463.24659"	""	""	""	" 558.88091"	""	""	""	""	""	""	""	""	""	""	""	"1.831615e+04"	"1.486543e+04"	"1.783887e+04"	"1.490170e+04"	"3.277977e+03"	"1.910617e+04"	"2.032261e+04"	"2.023647e+04"	"2.195372e+04"	"2.310098e+04"	"1.833444e+04"	"1.378737e+04"	"1.765793e+04"	"2.009832e+04"	"1.237400e+04"	"7.413168e+03"	"   7092.8149"	"6.274514e+03"	"3.707235e+03"	"3.002867e+03"
""	""	""	""	""	" 463.24691"	""	""	""	" 600.12543"	""	""	""	""	""	""	""	""	""	""	""	"8.090143e+03"	"9.366675e+03"	"1.388314e+04"	"1.257093e+04"	"9.580992e+02"	"1.430812e+04"	"7.839239e+03"	"6.754887e+03"	"1.106563e+04"	"1.125268e+04"	"2.627667e+04"	"4.366550e+04"	"5.226038e+04"	"3.615862e+04"	"3.955875e+04"	"2.250438e+04"	"  20961.0888"	"1.367484e+04"	"1.403797e+04"	"1.303454e+04"
""	""	""	""	""	" 463.24675"	""	""	""	" 609.46018"	""	""	""	""	""	""	""	""	""	""	""	"1.045124e+04"	"8.081232e+03"	"9.395190e+03"	"8.061887e+03"	"6.458002e+02"	"8.983609e+03"	"6.988615e+03"	"5.792305e+03"	"9.938395e+03"	"8.233985e+03"	"7.502813e+04"	"1.068568e+05"	"8.156025e+04"	"4.441706e+04"	"1.073679e+05"	"3.264284e+04"	"  51691.1754"	"2.081590e+04"	"3.437525e+04"	"2.246170e+04"
""	""	""	""	""	" 463.25426"	""	""	""	" 467.12774"	""	""	""	""	""	""	""	""	""	""	""	"2.044423e+02"	"1.907579e+02"	"2.020837e+02"	"2.547558e+02"	"1.327374e+02"	"1.824206e+02"	"1.720823e+02"	"1.700567e+02"	"1.630780e+02"	"1.750838e+02"	"6.553366e+03"	"5.803480e+03"	"9.404608e+03"	"1.308875e+03"	"5.813488e+03"	"1.423681e+03"	"   2133.5594"	"3.697684e+03"	"3.868413e+03"	"4.971190e+03"
""	""	""	""	""	" 464.05163"	""	""	""	"  75.96993"	""	""	""	""	""	""	""	""	""	""	""	"6.407303e+03"	"3.692916e+03"	"4.097909e+03"	"5.659553e+03"	"1.151225e+03"	"1.617899e+03"	"3.020385e+03"	"3.105451e+03"	"9.090665e+02"	"7.853019e+02"	"2.814454e+04"	"1.280415e+04"	"2.115235e+04"	"4.517514e+03"	"1.106554e+04"	"1.951692e+04"	"  10543.9360"	"1.318741e+04"	"1.373602e+04"	"1.270284e+04"
""	""	""	""	""	" 464.07154"	""	""	""	"  64.56909"	""	""	""	""	""	""	""	""	""	""	""	"5.924244e+03"	"5.164689e+03"	"5.336631e+03"	"5.302810e+03"	"2.594997e+03"	"5.221229e+03"	"4.605576e+03"	"4.502672e+03"	"4.387498e+03"	"4.475570e+03"	"3.074134e+04"	"2.334278e+04"	"2.910897e+04"	"1.789246e+04"	"1.622210e+04"	"1.126816e+04"	"  15049.0377"	"1.315174e+04"	"1.965994e+04"	"1.681413e+04"
""	""	""	""	""	" 464.08995"	""	""	""	" 293.53939"	""	""	""	""	""	""	""	""	""	""	""	"6.065252e+04"	"4.111696e+04"	"4.361757e+04"	"5.047093e+04"	"8.171812e+03"	"3.138127e+04"	"3.151075e+04"	"3.282749e+04"	"2.657862e+04"	"2.740511e+04"	"2.062011e+05"	"1.350162e+05"	"1.494227e+05"	"9.986776e+04"	"9.513107e+04"	"1.122774e+05"	"  88574.3268"	"9.833544e+04"	"8.644391e+04"	"5.379115e+04"
""	""	""	""	""	" 464.10462"	""	""	""	" 328.37693"	""	""	""	""	""	""	""	""	""	""	""	"3.660976e+03"	"2.247975e+03"	"2.538888e+03"	"2.887154e+03"	"7.667065e+02"	"2.208248e+03"	"1.598320e+03"	"1.614473e+03"	"8.545042e+02"	"8.457846e+02"	"1.067531e+04"	"5.691878e+03"	"7.796852e+03"	"5.426183e+03"	"5.121891e+03"	"6.115890e+03"	"   4805.8050"	"4.262972e+03"	"4.511955e+03"	"3.386138e+03"
""	""	""	""	""	" 464.14723"	""	""	""	" 272.06417"	""	""	""	""	""	""	""	""	""	""	""	"6.482645e+04"	"3.069183e+04"	"5.761515e+04"	"5.254372e+04"	"1.762744e+04"	"3.594214e+04"	"3.355022e+04"	"3.549312e+04"	"2.271541e+04"	"2.277596e+04"	"1.251954e+05"	"9.384111e+04"	"1.693994e+05"	"1.616793e+05"	"1.610215e+05"	"3.337914e+04"	"  59155.0953"	"3.024818e+04"	"6.853162e+04"	"5.319181e+04"
