"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"charge"	"modifications"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"pos-Exp1_K-1-24_1-E,1_01_55180"	"pos-Exp1_K-25-48_1-E,3_01_55183"	"pos-Exp1_K-49-72_1-E,5_01_55186"	"pos-Exp1_K-73-96_1-E,7_01_55189"	"pos-Exp1_K-97-120_1-F,1_01_55192"	"pos_Exp2_K01_1-C,1_01_365"	"pos_Exp2_K02_1-C,5_01_370"	"pos_Exp2_K03_1-D,1_01_375"	"pos_Exp2_K04_1-D,5_01_381"	"pos-Exp1_P-1-24_1-E,2_01_55181"	"pos-Exp1_P-25-48_1-E,4_01_55184"	"pos-Exp1_P-49-72_1-E,6_01_55187"	"pos-Exp1_P-73-96_1-E,8_01_55190"	"pos-Exp1_P-97-120_1-F,2_01_55193"	"pos_Exp2_P1_1-C,2_01_366"	"pos_Exp2_P2_1-C,6_01_371"	"pos_Exp2_P3_1-D,2_01_376"	"pos_Exp2_P4_1-D,6_01_382"	"pos_Exp2_P5_1-E,1_01_387"
""	""	""	""	""	" 130.0492"	""	""	""	"  39.46019"	""	""	""	""	""	""	""	""	""	""	""	"3.177483e+03"	"3.104924e+03"	"2.935556e+03"	"3.233079e+03"	"1.397249e+03"	"4.646187e+02"	"4.725790e+02"	"6.030722e+02"	"5.506747e+02"	"4.553796e+04"	"3.654376e+04"	"3.682415e+04"	"3.584103e+04"	"3.380912e+04"	"3.892076e+03"	"3.890232e+03"	"2.140138e+03"	"4.119604e+03"	"2.664220e+03"
""	""	""	""	""	" 130.0642"	""	""	""	" 106.15966"	""	""	""	""	""	""	""	""	""	""	""	"2.731954e+02"	"4.172455e+02"	"3.150423e+02"	"6.252655e+02"	"4.613610e+02"	"6.297391e+02"	"2.093614e+03"	"1.813326e+03"	"1.150189e+03"	"2.647136e+04"	"2.808467e+04"	"2.893261e+04"	"3.526151e+04"	"2.587934e+04"	"1.184253e+04"	"1.237712e+04"	"4.398500e+03"	"1.431149e+04"	"1.314790e+04"
""	""	""	""	""	" 130.0640"	""	""	""	" 220.51968"	""	""	""	""	""	""	""	""	""	""	""	"6.064263e+02"	"3.392757e+02"	"5.854245e+02"	"3.056141e+03"	"5.292305e+02"	"6.507743e+01"	"2.035915e+01"	"1.337945e+02"	"5.139449e+01"	"7.469851e+03"	"7.642452e+03"	"8.205291e+03"	"1.035960e+04"	"9.767968e+03"	"2.934330e+03"	"3.270616e+03"	"1.053505e+03"	"3.742453e+03"	"3.588293e+03"
""	""	""	""	""	" 130.1579"	""	""	""	" 178.62075"	""	""	""	""	""	""	""	""	""	""	""	"6.437157e+04"	"2.378401e+04"	"8.037294e+03"	"2.310330e+04"	"7.786872e+03"	"3.050932e+02"	"6.758438e+02"	"2.069156e+03"	"1.411037e+03"	"3.640465e+05"	"2.886482e+05"	"2.702434e+05"	"3.405448e+05"	"3.409775e+05"	"6.466017e+03"	"5.959436e+03"	"4.100928e+03"	"7.822753e+03"	"8.971872e+03"
""	""	""	""	""	" 130.5249"	""	""	""	"  23.61297"	""	""	""	""	""	""	""	""	""	""	""	"1.703707e+03"	"2.974529e+03"	"3.244233e+03"	"3.022938e+03"	"2.714535e+03"	"1.564087e+03"	"3.443966e+03"	"3.696812e+03"	"2.877558e+03"	"1.525684e+04"	"1.434475e+04"	"1.631485e+04"	"1.574887e+04"	"1.946071e+04"	"1.654996e+03"	"6.051477e+03"	"4.218600e+03"	"6.667324e+03"	"3.946388e+03"
""	""	""	""	""	" 130.9645"	""	""	""	"  20.64147"	""	""	""	""	""	""	""	""	""	""	""	"1.908984e+03"	"3.488946e+03"	"2.647066e+03"	"3.199676e+03"	"3.770079e+03"	"7.963569e+02"	"2.340923e+03"	"2.813160e+03"	"2.415363e+03"	"6.700166e+03"	"7.915209e+03"	"9.450563e+03"	"7.875424e+03"	"7.949354e+03"	"6.464737e+02"	"1.657446e+03"	"2.375966e+03"	"2.147561e+03"	"1.554817e+03"
""	""	""	""	""	" 131.0695"	""	""	""	"  55.46231"	""	""	""	""	""	""	""	""	""	""	""	"1.181106e+03"	"1.500648e+03"	"1.437065e+03"	"2.018066e+03"	"1.936884e+03"	"3.440798e+02"	"4.514880e+02"	"5.652776e+02"	"4.678510e+02"	"9.185557e+04"	"1.355157e+05"	"1.111616e+05"	"1.267191e+05"	"1.007599e+05"	"2.792828e+04"	"3.406286e+04"	"3.126287e+04"	"3.875441e+04"	"3.154066e+04"
""	""	""	""	""	" 131.0484"	""	""	""	" 376.76218"	""	""	""	""	""	""	""	""	""	""	""	"5.277180e+02"	"4.628442e+02"	"4.681169e+02"	"4.566500e+02"	"6.442239e+02"	"2.502675e+02"	"2.843002e+02"	"3.003686e+02"	"2.953877e+02"	"9.152562e+03"	"1.218014e+04"	"9.434193e+03"	"1.444896e+04"	"1.192330e+04"	"1.028684e+03"	"8.949628e+02"	"7.420535e+02"	"2.246069e+03"	"2.771859e+03"
""	""	""	""	""	" 131.5406"	""	""	""	"  24.00931"	""	""	""	""	""	""	""	""	""	""	""	"8.507556e+02"	"8.161966e+02"	"6.659700e+02"	"1.176951e+03"	"9.471948e+02"	"4.502045e+02"	"5.225241e+02"	"5.420912e+02"	"4.985649e+02"	"9.606932e+03"	"6.472850e+03"	"8.727457e+03"	"7.658786e+03"	"7.963012e+03"	"3.748574e+02"	"1.290876e+03"	"1.118789e+03"	"1.568325e+03"	"9.382060e+02"
""	""	""	""	""	" 132.0610"	""	""	""	" 315.25413"	""	""	""	""	""	""	""	""	""	""	""	"1.752816e+04"	"1.480735e+04"	"1.430274e+04"	"1.338476e+04"	"1.229126e+04"	"3.726892e+03"	"3.463546e+03"	"6.461400e+03"	"5.179276e+03"	"2.457299e+03"	"1.577422e+03"	"1.489370e+03"	"3.462979e+03"	"1.934591e+03"	"2.010166e+03"	"1.358266e+03"	"2.413948e+03"	"9.872158e+02"	"1.676625e+03"
