"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"charge"	"modifications"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"pos_Exp1-K1_2-C,1_01_7443.d"	"pos_Exp1-K2_2-C,3_01_7445.d"	"pos_Exp1-K3_2-C,5_01_7447.d"	"pos_Exp1-K4_2-C,7_01_7449.d"	"pos_Exp1-K5_2-D,1_01_7451.d"	"pos_Exp2-K1_2-E,1_01_7454.d"	"pos_Exp2-K2_2-E,3_01_7456.d"	"pos_Exp2-K2_2-E,3_01_7460.d"	"pos_Exp2-K3_2-E,5_01_7458.d"	"pos_Exp2-K3_2-E,5_01_7462.d"	"pos_Exp1-P1_2-C,2_01_7444.d"	"pos_Exp1-P2_2-C,4_01_7446.d"	"pos_Exp1-P3_2-C,6_01_7448.d"	"pos_Exp1-P4_2-C,8_01_7450.d"	"pos_Exp1-P5_2-D,2_01_7452.d"	"pos_Exp2-P1_2-E,2_01_7455.d"	"pos_Exp2-P2_2-E,4_01_7457.d"	"pos_Exp2-P3_2-E,6_01_7459.d"	"pos_Exp2-P4_2-E,7_01_7461.d"	"pos_Exp2-P5_2-E,8_01_7463.d"
""	""	""	""	""	" 135.0440"	""	""	""	" 270.902108"	""	""	""	""	""	""	""	""	""	""	""	"2.134499e+04"	"2.294826e+04"	"2.156992e+04"	"2.191015e+04"	"2.220828e+04"	"2.178779e+04"	"2.187618e+04"	"2.246464e+04"	"2.175195e+04"	"2.191300e+04"	"1.949895e+04"	"2.078910e+04"	"1.818022e+04"	"1.883722e+04"	"1.816469e+04"	"2.116434e+04"	"2.015966e+04"	"2.010518e+04"	"1.867631e+04"	"1.983880e+04"
""	""	""	""	""	" 136.0473"	""	""	""	" 270.902032"	""	""	""	""	""	""	""	""	""	""	""	"1.742891e+03"	"1.530729e+03"	"1.501008e+03"	"1.188150e+03"	"1.590678e+03"	"1.614290e+03"	"1.982070e+03"	"1.572924e+03"	"1.875660e+03"	"1.666679e+03"	"1.634993e+03"	"1.603585e+03"	"1.230300e+03"	"1.400065e+03"	"1.483186e+03"	"1.352929e+03"	"1.557501e+03"	"1.588518e+03"	"1.279452e+03"	"1.597246e+03"
""	""	""	""	""	" 136.0620"	""	""	""	"  37.416980"	""	""	""	""	""	""	""	""	""	""	""	"4.636844e+03"	"6.143537e+03"	"8.713363e+03"	"6.276114e+03"	"2.663974e+03"	"4.497367e+03"	"3.426739e+03"	"4.231770e+03"	"3.104972e+03"	"3.029964e+03"	"9.053002e+03"	"5.200195e+03"	"5.783979e+03"	"1.204677e+04"	"9.369934e+03"	"4.885238e+03"	"9.148528e+03"	"3.455038e+03"	"5.476372e+03"	"1.716381e+03"
""	""	""	""	""	" 136.5409"	""	""	""	" 484.633320"	""	""	""	""	""	""	""	""	""	""	""	"1.999833e+03"	"1.978626e+03"	"2.617207e+03"	"3.442061e+03"	"1.136478e+03"	"2.775352e+03"	"5.132565e+02"	"2.929510e+03"	"2.072647e+03"	"2.771144e+03"	"1.156258e+03"	"1.846318e+03"	"1.384383e+03"	"3.694286e+03"	"2.976595e+03"	"8.499339e+02"	"2.389334e+03"	"3.989856e+03"	"5.449444e+03"	"5.441016e+02"
""	""	""	""	""	" 138.0547"	""	""	""	" 159.137735"	""	""	""	""	""	""	""	""	""	""	""	"5.307666e+04"	"4.064953e+04"	"4.072394e+04"	"5.503492e+04"	"2.094748e+04"	"3.254396e+04"	"5.325867e+04"	"5.377245e+04"	"2.173588e+04"	"2.466838e+04"	"9.494913e+03"	"5.286281e+03"	"6.049575e+03"	"1.412300e+04"	"4.125731e+03"	"1.451067e+04"	"7.555417e+03"	"1.181764e+04"	"5.055586e+03"	"4.246858e+03"
""	""	""	""	""	" 139.0388"	""	""	""	" 172.404756"	""	""	""	""	""	""	""	""	""	""	""	"8.644928e+02"	"4.201741e+02"	"6.420974e+02"	"4.568413e+02"	"1.884840e+02"	"2.392473e+02"	"4.013836e+02"	"3.226417e+02"	"2.876082e+02"	"2.265144e+02"	"3.465103e+03"	"2.333818e+03"	"2.518013e+03"	"1.512542e+03"	"1.347074e+03"	"2.810019e+03"	"3.457971e+03"	"2.503334e+03"	"2.973043e+03"	"3.113489e+03"
""	""	""	""	""	" 139.0499"	""	""	""	"  38.068662"	""	""	""	""	""	""	""	""	""	""	""	"4.234235e+03"	"3.271802e+03"	"1.616419e+03"	"1.077363e+03"	"1.362618e+03"	"2.228560e+03"	"1.434146e+03"	"1.650097e+03"	"1.490485e+03"	"1.601868e+03"	"5.942726e+03"	"2.785251e+03"	"2.310413e+03"	"2.448016e+03"	"3.114522e+03"	"2.212832e+03"	"1.109253e+03"	"7.608531e+02"	"1.564897e+03"	"4.617024e+03"
""	""	""	""	""	" 139.0575"	""	""	""	" 158.844833"	""	""	""	""	""	""	""	""	""	""	""	"4.325368e+03"	"2.573126e+03"	"3.312643e+03"	"3.761662e+03"	"1.893414e+03"	"1.845984e+03"	"4.298014e+03"	"3.465462e+03"	"1.384539e+03"	"1.812283e+03"	"8.903056e+02"	"5.779759e+02"	"1.770885e+02"	"1.380108e+03"	"3.292363e+02"	"6.907775e+02"	"5.309638e+02"	"9.833603e+02"	"3.957466e+02"	"3.259805e+02"
""	""	""	""	""	" 139.9147"	""	""	""	"  26.009151"	""	""	""	""	""	""	""	""	""	""	""	"1.717802e+04"	"2.022354e+04"	"1.841035e+04"	"1.918801e+04"	"1.210751e+04"	"1.713819e+04"	"1.755318e+04"	"1.744018e+04"	"1.714466e+04"	"1.787276e+04"	"7.136371e+03"	"5.155384e+03"	"5.839507e+03"	"6.649998e+03"	"5.616288e+03"	"1.083076e+04"	"9.320698e+03"	"8.949013e+03"	"7.780769e+03"	"3.797596e+03"
""	""	""	""	""	" 142.0694"	""	""	""	" 325.028076"	""	""	""	""	""	""	""	""	""	""	""	"6.997479e+02"	"7.557550e+02"	"9.627415e+02"	"4.421022e+02"	"3.563204e+02"	"5.179246e+02"	"5.489278e+02"	"1.349507e+03"	"7.528405e+02"	"5.900794e+02"	"1.599612e+03"	"1.714370e+03"	"1.485642e+03"	"1.861010e+03"	"1.773217e+03"	"1.771079e+03"	"1.374255e+03"	"2.237369e+03"	"2.687148e+03"	"3.535027e+03"
