month,day,year,deaths,date
10,23,2015,74,2015-10-23
10,24,2015,78,2015-10-24
10,25,2015,72,2015-10-25
10,26,2015,60,2015-10-26
10,27,2015,71,2015-10-27
10,28,2015,75,2015-10-28
10,29,2015,76,2015-10-29
10,30,2015,88,2015-10-30
10,31,2015,75,2015-10-31
11,1,2015,77,2015-11-01
11,2,2015,71,2015-11-02
11,3,2015,83,2015-11-03
11,4,2015,58,2015-11-04
11,5,2015,66,2015-11-05
11,6,2015,70,2015-11-06
11,7,2015,62,2015-11-07
11,8,2015,73,2015-11-08
11,9,2015,73,2015-11-09
11,10,2015,62,2015-11-10
11,11,2015,74,2015-11-11
11,12,2015,77,2015-11-12
11,13,2015,77,2015-11-13
11,14,2015,78,2015-11-14
11,15,2015,77,2015-11-15
11,16,2015,74,2015-11-16
11,17,2015,81,2015-11-17
11,18,2015,62,2015-11-18
11,19,2015,79,2015-11-19
11,20,2015,90,2015-11-20
11,21,2015,64,2015-11-21
11,22,2015,91,2015-11-22
11,23,2015,83,2015-11-23
11,24,2015,81,2015-11-24
11,25,2015,80,2015-11-25
11,26,2015,70,2015-11-26
11,27,2015,102,2015-11-27
11,28,2015,85,2015-11-28
11,29,2015,49,2015-11-29
11,30,2015,99,2015-11-30
12,1,2015,82,2015-12-01
12,2,2015,87,2015-12-02
12,3,2015,83,2015-12-03
12,4,2015,78,2015-12-04
12,5,2015,69,2015-12-05
12,6,2015,69,2015-12-06
12,7,2015,77,2015-12-07
12,8,2015,85,2015-12-08
12,9,2015,86,2015-12-09
12,10,2015,78,2015-12-10
12,11,2015,73,2015-12-11
12,12,2015,80,2015-12-12
12,13,2015,75,2015-12-13
12,14,2015,77,2015-12-14
12,15,2015,75,2015-12-15
12,16,2015,95,2015-12-16
12,17,2015,70,2015-12-17
12,18,2015,107,2015-12-18
12,19,2015,88,2015-12-19
12,20,2015,87,2015-12-20
12,21,2015,79,2015-12-21
12,22,2015,74,2015-12-22
12,23,2015,90,2015-12-23
12,24,2015,96,2015-12-24
12,25,2015,90,2015-12-25
12,26,2015,69,2015-12-26
12,27,2015,75,2015-12-27
12,28,2015,79,2015-12-28
12,29,2015,80,2015-12-29
12,30,2015,93,2015-12-30
12,31,2015,70,2015-12-31
1,1,2016,89,2016-01-01
1,2,2016,88,2016-01-02
1,3,2016,79,2016-01-03
1,4,2016,90,2016-01-04
1,5,2016,80,2016-01-05
1,6,2016,96,2016-01-06
1,7,2016,92,2016-01-07
1,8,2016,77,2016-01-08
1,9,2016,86,2016-01-09
1,10,2016,90,2016-01-10
1,11,2016,86,2016-01-11
1,12,2016,81,2016-01-12
1,13,2016,79,2016-01-13
1,14,2016,87,2016-01-14
1,15,2016,94,2016-01-15
1,16,2016,99,2016-01-16
1,17,2016,92,2016-01-17
1,18,2016,83,2016-01-18
1,19,2016,81,2016-01-19
1,20,2016,100,2016-01-20
1,21,2016,81,2016-01-21
1,22,2016,87,2016-01-22
1,23,2016,92,2016-01-23
1,24,2016,100,2016-01-24
1,25,2016,92,2016-01-25
1,26,2016,98,2016-01-26
1,27,2016,91,2016-01-27
1,28,2016,98,2016-01-28
1,29,2016,92,2016-01-29
1,30,2016,90,2016-01-30
1,31,2016,72,2016-01-31
2,1,2016,111,2016-02-01
2,2,2016,95,2016-02-02
2,3,2016,119,2016-02-03
2,4,2016,89,2016-02-04
2,5,2016,109,2016-02-05
2,6,2016,87,2016-02-06
2,7,2016,94,2016-02-07
2,8,2016,94,2016-02-08
2,9,2016,79,2016-02-09
2,10,2016,102,2016-02-10
2,11,2016,92,2016-02-11
2,12,2016,88,2016-02-12
2,13,2016,97,2016-02-13
2,14,2016,84,2016-02-14
2,15,2016,93,2016-02-15
2,16,2016,78,2016-02-16
2,17,2016,85,2016-02-17
2,18,2016,79,2016-02-18
2,19,2016,107,2016-02-19
2,20,2016,72,2016-02-20
2,21,2016,83,2016-02-21
2,22,2016,83,2016-02-22
2,23,2016,83,2016-02-23
2,24,2016,102,2016-02-24
2,25,2016,73,2016-02-25
2,26,2016,82,2016-02-26
2,27,2016,93,2016-02-27
2,28,2016,69,2016-02-28
2,29,2016,70,2016-02-29
3,1,2016,73,2016-03-01
3,2,2016,69,2016-03-02
3,3,2016,67,2016-03-03
3,4,2016,88,2016-03-04
3,5,2016,77,2016-03-05
3,6,2016,69,2016-03-06
3,7,2016,85,2016-03-07
3,8,2016,80,2016-03-08
3,9,2016,69,2016-03-09
3,10,2016,77,2016-03-10
3,11,2016,84,2016-03-11
3,12,2016,72,2016-03-12
3,13,2016,85,2016-03-13
3,14,2016,83,2016-03-14
3,15,2016,77,2016-03-15
3,16,2016,80,2016-03-16
3,17,2016,69,2016-03-17
3,18,2016,77,2016-03-18
3,19,2016,95,2016-03-19
3,20,2016,94,2016-03-20
3,21,2016,90,2016-03-21
3,22,2016,83,2016-03-22
3,23,2016,82,2016-03-23
3,24,2016,81,2016-03-24
