Station ID,Date, Latitude ,Longitude,Depth (feet),"2,3,7,8-TCDD (pg/g)","1,2,3,7,8-PeCDD (pg/g)","1,2,3,4,7,8-HxCDD (pg/g)","1,2,3,6,7,8-HxCDD (pg/g)","1,2,3,7,8,9-HxCDD (pg/g)","1,2,3,4,6,7,8-HpCDD (pg/g)",OCDD (pg/g),"2,3,7,8-TCDF (pg/g)","1,2,3,7,8-PeCDF (pg/g)","2,3,4,7,8-PeCDF (pg/g)","1,2,3,4,7,8-HxCDF (pg/g)","1,2,3,6,7,8-HxCDF (pg/g)","1,2,3,7,8,9-HxCDF (pg/g)","2,3,4,6,7,8-HxCDF (pg/g)","1,2,3,4,6,7,8-HpCDF (pg/g)","1,2,3,4,7,8,9-HpCDF (pg/g)",OCDF (pg/g),Total TCDDs (pg/g),Total PeCDDs (pg/g),Total HxCDDs (pg/g),Total HpCDDs (pg/g),Total TCDFs (pg/g),Total PeCDFs (pg/g),Total HxCDFs (pg/g),Total HpCDFs (pg/g),TOC (%),Total Fines (%),TEQ WHO-05 (1 DL) (pg/g),TEQ WHO-05 (1/2 DL) (pg/g),TEQ WHO-05 (0 DL) (pg/g),Title,Details,Location
R_SAM_5,08/01/2008,48.6134,-122.494296,49.7,0.23,0.52,0.562,2.55,1.64,20.1,104,2.09,0.254,0.518,0.401,0.308,0.278,0.447,4.34,0.36,8.47,18.6,17.9,37.2,43.2,9.4,4.39,5.42,10.7,1.64,75.1,2.02,1.89,1.75,Station ID: R_SAM_5,"<ul><li><strong>Dioxin TEQ 1/2 DL:</strong> 1.89 pg/g</li><li><strong>Depth:</strong> 49.7 feet</li><li><strong>Location:</strong> 48.6134N, -122.494296W</li><li><strong>Total Organic Carbon:</strong> 1.64%</li><li><strong>Total Fines:</strong> 75.1%</li></ul>
<p><a target=""_blank"" href=""http://www.socrata.com/dataset/Dioxin/km7h-ni6x/45"">View Details</a></p>
","(48.6134, -122.494296)"
R_DAB_5,08/02/2008,47.680023,-122.834122,321.8,0.333,0.611,0.452,2.6,1.8,24.1,139,1.62,0.464,0.8,0.613,0.389,0.375,0.703,5.49,0.664,9.81,4.58,5.11,27.9,58,19.1,8.97,7.93,12.3,1.54,77.7,2.4,1.85,1.3,Station ID: R_DAB_5,"<ul><li><strong>Dioxin TEQ 1/2 DL:</strong> 1.85 pg/g</li><li><strong>Depth:</strong> 321.8 feet</li><li><strong>Location:</strong> 47.680023N, -122.834122W</li><li><strong>Total Organic Carbon:</strong> 1.54%</li><li><strong>Total Fines:</strong> 77.7%</li></ul>
<p><a target=""_blank"" href=""http://www.socrata.com/dataset/Dioxin/km7h-ni6x/34"">View Details</a></p>
","(47.680023, -122.834122)"
R_DAB_2,08/02/2008,47.681197,-122.874253,407.1,0.311,0.69,0.54,2.64,1.88,23.4,134,0.296,0.328,0.875,0.653,0.421,0.375,0.587,5.31,0.633,9.01,3.04,5.72,28.5,57,11.9,7.74,7.01,11.9,1.27,90.5,2.35,1.79,1.23,Station ID: R_DAB_2,"<ul><li><strong>Dioxin TEQ 1/2 DL:</strong> 1.79 pg/g</li><li><strong>Depth:</strong> 407.1 feet</li><li><strong>Location:</strong> 47.681197N, -122.874253W</li><li><strong>Total Organic Carbon:</strong> 1.27%</li><li><strong>Total Fines:</strong> 90.5%</li></ul>
<p><a target=""_blank"" href=""http://www.socrata.com/dataset/Dioxin/km7h-ni6x/33"">View Details</a></p>
","(47.681197, -122.874253)"
SJF_12_C_GS,08/02/2008,48.047319,-122.857881,156.2,0.252,0.522,0.404,2.02,1.4,17.9,101,1.54,0.326,0.614,0.447,0.283,0.362,0.434,4.48,0.566,6.94,5.03,6.26,22.2,44.6,8.66,6.14,5.18,9.67,2.64,78.9,1.92,1.75,1.57,Station ID: SJF_12_C_GS,"<ul><li><strong>Dioxin TEQ 1/2 DL:</strong> 1.75 pg/g</li><li><strong>Depth:</strong> 156.2 feet</li><li><strong>Location:</strong> 48.047319N, -122.857881W</li><li><strong>Total Organic Carbon:</strong> 2.64%</li><li><strong>Total Fines:</strong> 78.9%</li></ul>
<p><a target=""_blank"" href=""http://www.socrata.com/dataset/Dioxin/km7h-ni6x/52"">View Details</a></p>
","(48.047319, -122.857881)"
R_SAM_1,08/01/2008,48.627431,-122.493314,43.1,0.108,0.524,0.484,2.03,1.36,17.1,94.5,1.72,0.189,0.435,0.345,0.252,0.203,0.35,3.93,0.238,7.63,6.6,14,31.1,36.2,6.93,4.49,4.55,9.86,1.75,45.2,1.69,1.6,1.52,Station ID: R_SAM_1,"<ul><li><strong>Dioxin TEQ 1/2 DL:</strong> 1.6 pg/g</li><li><strong>Depth:</strong> 43.1 feet</li><li><strong>Location:</strong> 48.627431N, -122.493314W</li><li><strong>Total Organic Carbon:</strong> 1.75%</li><li><strong>Total Fines:</strong> 45.2%</li></ul>
<p><a target=""_blank"" href=""http://www.socrata.com/dataset/Dioxin/km7h-ni6x/42"">View Details</a></p>
","(48.627431, -122.493314)"
R_DAB_1,08/02/2008,47.768648,-122.851379,379.3,0.338,0.49,0.363,1.46,1.12,18.7,105,0.878,0.307,0.707,0.617,0.328,0.431,0.515,3.56,0.709,5.75,0.58,3.32,16.1,47.1,7.64,5.16,6.23,7.6,2.44,67.3,1.88,1.68,1.49,Station ID: R_DAB_1,"<ul><li><strong>Dioxin TEQ 1/2 DL:</strong> 1.68 pg/g</li><li><strong>Depth:</strong> 379.3 feet</li><li><strong>Location:</strong> 47.768648N, -122.851379W</li><li><strong>Total Organic Carbon:</strong> 2.44%</li><li><strong>Total Fines:</strong> 67.3%</li></ul>
<p><a target=""_blank"" href=""http://www.socrata.com/dataset/Dioxin/km7h-ni6x/32"">View Details</a></p>
","(47.768648, -122.851379)"
PSPS_9,08/03/2008,48.125624,-122.38381,392.1,0.17,0.482,0.476,1.84,1.39,24.5,172,1.9,0.362,0.793,0.694,0.373,0.331,0.583,5.11,0.469,11.2,2.74,6.68,22.3,56,6.43,7.7,8.12,13.7,1.56,95.4,2.02,1.67,1.33,Station ID: PSPS_9,"<ul><li><strong>Dioxin TEQ 1/2 DL:</strong> 1.67 pg/g</li><li><strong>Depth:</strong> 392.1 feet</li><li><strong>Location:</strong> 48.125624N, -122.38381W</li><li><strong>Total Organic Carbon:</strong> 1.56%</li><li><strong>Total Fines:</strong> 95.4%</li></ul>
<p><a target=""_blank"" href=""http://www.socrata.com/dataset/Dioxin/km7h-ni6x/25"">View Details</a></p>
","(48.125624, -122.38381)"
SPSB_0_Dup,08/03/2008,48.086413,-122.348546,387.2,0.19,0.373,0.343,1.71,1.24,22,146,1.52,0.343,0.83,0.633,0.324,0.262,0.521,5.4,0.377,10.2,2.51,7.45,20.3,49.3,9.76,7.26,7.73,13.4,2.07,83.2,1.8,1.65,1.51,Station ID: SPSB_0_Dup,"<ul><li><strong>Dioxin TEQ 1/2 DL:</strong> 1.65 pg/g</li><li><strong>Depth:</strong> 387.2 feet</li><li><strong>Location:</strong> 48.086413N, -122.348546W</li><li><strong>Total Organic Carbon:</strong> 2.07%</li><li><strong>Total Fines:</strong> 83.2%</li></ul>
<p><a target=""_blank"" href=""http://www.socrata.com/dataset/Dioxin/km7h-ni6x/75"">View Details</a></p>
","(48.086413, -122.348546)"
CPS_3_Dup,07/31/2008,47.645433,-122.482936,403.8,0.183,0.405,0.321,1.7,1.18,21.8,189,1.22,0.33,0.72,0.618,0.347,0.286,0.518,5.27,0.344,12.9,2.8,5.81,16.8,50.3,8.35,6.23,7.26,13.8,1.49,20.7,1.77,1.62,1.47,Station ID: CPS_3_Dup,"<ul><li><strong>Dioxin TEQ 1/2 DL:</strong> 1.62 pg/g</li><li><strong>Depth:</strong> 403.8 feet</li><li><strong>Location:</strong> 47.645433N, -122.482936W</li><li><strong>Total Organic Carbon:</strong> 1.49%</li><li><strong>Total Fines:</strong> 20.7%</li></ul>
<p><a target=""_blank"" href=""http://www.socrata.com/dataset/Dioxin/km7h-ni6x/71"">View Details</a></p>
","(47.645433, -122.482936)"
SPSB_0,08/03/2008,48.087983,-122.432663,385.2,0.18,0.351,0.41,1.82,1.36,22.1,148,1.14,0.294,0.817,0.538,0.306,0.403,0.44,5.2,0.497,10.7,5.68,6.54,19.5,48.8,9.16,7.65,6.51,13,2.24,76.4,1.75,1.58,1.4,Station ID: SPSB_0,"<ul><li><strong>Dioxin TEQ 1/2 DL:</strong> 1.58 pg/g</li><li><strong>Depth:</strong> 385.2 feet</li><li><strong>Location:</strong> 48.087983N, -122.432663W</li><li><strong>Total Organic Carbon:</strong> 2.24%</li><li><strong>Total Fines:</strong> 76.4%</li></ul>
<p><a target=""_blank"" href=""http://www.socrata.com/dataset/Dioxin/km7h-ni6x/61"">View Details</a></p>
","(48.087983, -122.432663)"
