PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,1^Activity Summary^STRING^^^^,2^Ratio Activity^STRING^^^^,3^Ratio Potency (uM)^FLOAT^uM^AC^^,4^Ratio Efficacy (%)^FLOAT^%^^^,5^530 nm Activity^STRING^^^^,6^530 nm Potency (uM)^FLOAT^uM^^^,7^530 nm Efficacy (%)^FLOAT^%^^^,8^460 nm Activity^STRING^^^^,9^460 nm Potency (uM)^FLOAT^uM^^^,10^460 nm Efficacy (%)^FLOAT^%^^^,11^Blue (460 nm) auto fluorescence outcome^STRING^^^^,12^Sample Source^STRING^^^^
144203552,12850184,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203553,89753,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203554,9403,Active,98,,,active agonist,active agonist,0.00175753,115.035,active antagonist,0.00145209,-30.9236,active agonist,0.00162927,95.8513,inactive,NCI
144203555,13218779,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203556,142766,Active,43,,,active agonist,active agonist,24.8257,31.0294,inactive,,0,active agonist,23.9145,43.755,inactive,NCI
144203557,16043,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203558,16043,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203559,2724411,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203560,2724372,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203561,637566,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203562,994,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203563,4766,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203564,79472,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Labotest
144203565,3080,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203566,197883,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203567,51,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203568,66064,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,NCI
144203569,66435,Active,94,,,active agonist,active agonist,0.000504935,95.954,active antagonist,0.000898795,-27.4923,inconclusive agonist,0.00169301,82.5224,inactive,NCI
144203570,8969,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203571,10664,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203572,8739,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Chembridge
144203573,4904,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203574,65463,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203575,439501,Inconclusive,5,,,inconclusive,inconclusive antagonist,,0,active agonist,0.425266,31.7745,inactive,,0,inactive,NCI
144203576,65708,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Chemical Block
144203577,60196259,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,NCI
144203578,5338,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203579,3246155,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,NCI
144203580,5920,Active,45,,,active agonist,active agonist,9.5112,35.6188,inactive,,0,active agonist,7.2777,58.8583,inactive,NCI
144203581,54724367,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203582,7329,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,11.3063,inactive,,0,inactive,NIEHS
144203583,667466,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203584,24403,Inactive,0,,,inactive,inactive,,0,inactive,,0,active agonist,,13.2543,inactive,NCI
144203585,6419941,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203586,6603108,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203587,6419978,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203588,5459110,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203589,656597,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203590,3000668,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203591,22576,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203592,2333,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203593,614,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203594,94280,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203595,23664709,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203596,546,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,,0,inconclusive antagonist,,0,inactive,SigmaAldrich
144203597,16678045,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203598,14676,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203599,441358,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203600,71822,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203601,443939,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203602,298391,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203603,4078,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203604,2348,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203605,23667629,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203606,122820,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203607,3151,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203608,65758,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bionet
144203609,5694,Inactive,0,,,inactive,inactive,,0,active agonist,7.56242,20.6033,inactive,,0,inactive,Microsource
144203610,4614,Inactive,0,,,inactive,inactive,,0,active agonist,7.13938,23.3309,inactive,,0,inactive,NCI
144203611,71203,Inconclusive,5,,,inconclusive,inconclusive agonist,,0,inconclusive antagonist,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203612,3061720,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203613,35370,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203614,2266,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203615,2170,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203616,1727,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203617,2081,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
144203618,1989,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203619,2130,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203620,169371,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,fluorescent,Microsource
144203621,5283389,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203622,119,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203623,1967,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203624,1935,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203625,2265,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203626,2022,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203627,2244,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203628,2141,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203629,1986,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203630,2230,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203631,16231,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203632,564,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203633,2094,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NIEHS
144203634,2157,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,28.4224,23.7346,inactive,,0,inactive,BIOMOL
144203635,2119,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203636,2123,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203637,2196,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203638,4768,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203639,2471,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203640,2351,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203641,2284,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203642,2369,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203643,2477,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203644,2717,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203645,1687,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203646,2765,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203647,2708,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
144203648,2578,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203649,2754,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
144203650,6241,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203651,22420,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,SigmaAldrich
144203652,72276,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
144203653,2727,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203654,4211,Active,45,,,active agonist,active agonist,7.55501,32.4574,inactive,,0,active agonist,7.00369,40.9324,inactive,SigmaAldrich
144203655,2554,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203656,2733,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203657,2756,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203658,2720,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NIEHS
144203659,5309446,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203660,1547484,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203661,1355,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203662,2812,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203663,2913,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203664,2818,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203665,4652,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
144203666,64927,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,SigmaAldrich
144203667,2796,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203668,2801,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203669,2803,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203670,2753,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,13.8668,inactive,,0,inactive,SigmaAldrich
144203671,2726,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203672,2762,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,2.56454,20.3735,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203673,2576,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203674,19379,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203675,2910,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203676,104920,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,4.25266,26.7933,inconclusive agonist,,0,inactive,BIOMOL
144203677,36811,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203678,3100,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203679,10649,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203680,65327,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203681,6419921,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203682,3053,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Labotest
144203683,3019,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203684,3108,Inconclusive,30,,,inconclusive agonist (fluorescent),active agonist,11.5231,22.6792,active agonist,20.5113,69.9015,active agonist,20.5113,106.782,fluorescent,BIOMOL
144203685,4943,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203686,9363,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203687,9363,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203688,53708,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,11.7123,inactive,SigmaAldrich
144203689,8307,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203690,72016,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203691,3194,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203692,6207,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,0,inconclusive agonist,,0,inconclusive agonist,,0,inactive,SigmaAldrich
144203693,3396,Inactive,0,,,inactive,inactive,,0,active antagonist,28.973,-32.1705,inconclusive antagonist,,-15.692,inactive,BIOMOL
144203694,3433,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203695,3386,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203696,3331,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203697,3372,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203698,3339,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203699,3373,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203700,3442,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,16.9872,inactive,,0,inactive,SigmaAldrich
144203701,3385,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NIEHS
144203702,3356,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,,0,inactive,,0,inactive,BIOMOL
144203703,3341,Active,49,,,active agonist,active agonist,12.9291,93.4161,active antagonist,10.6822,-29.3867,active agonist,9.89298,96.6393,inactive,BIOMOL
144203704,3325,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203705,3397,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203706,3333,Active,42,,,active agonist,active agonist,,12.363,inactive,,0,active agonist,13.9742,21.7068,inconclusive,SigmaAldrich
144203707,3478,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203708,3446,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203709,3488,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,29.1041,inactive,,0,inactive,BIOMOL
144203710,71401,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203711,3454,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203712,5280961,Active,50,,,active agonist,active agonist,8.15772,82.1482,inconclusive antagonist,6.00704,-20.9614,active agonist,7.85827,98.2238,inactive,SigmaAldrich
144203713,3559,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203714,9351,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203715,5702293,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203716,3639,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
144203717,774,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203718,681,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203719,3657,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
144203720,785,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,12.7053,inactive,,0,inconclusive agonist,,17.018,inconclusive,NIEHS
144203721,3672,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203722,55918,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203723,3779,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203724,54459,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203725,3696,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203726,133621,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203727,3827,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203728,3932,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203729,3965,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,14.3187,inactive,,0,inactive,SigmaAldrich
144203730,3878,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203731,3955,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,19.4831,inactive,,0,inactive,BIOMOL
144203732,39562,Active,45,,,active agonist,active agonist,23.8911,59.8287,inactive,,0,active agonist,23.9145,83.2262,inactive,SigmaAldrich
144203733,3899,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203734,3676,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203735,3883,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203736,3957,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203737,4170,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203738,65710,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,0,inactive,,0,inconclusive agonist,,0,inactive,SigmaAldrich
144203739,4168,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203740,4122,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,0,active antagonist,0.952052,-27.231,inconclusive agonist,,0,inactive,Microsource
144203741,4810,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203742,4184,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,,0,inactive,,0,inactive,BIOMOL
144203743,5353788,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203744,4201,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203745,6420039,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203746,896,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203747,119442,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203748,51082,Inconclusive,5,,,inconclusive,active agonist,,17.0296,inconclusive antagonist,,0,inconclusive,,0,inactive,"Prestwick Chemical, Inc."
144203749,4032,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203750,4054,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203751,4011,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203752,4507,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203753,4497,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203754,4500,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203755,4567,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,0,inactive,BIOMOL
144203756,4418,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203757,4488,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,13.3835,inconclusive agonist,,0,inactive,BIOMOL
144203758,4495,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203759,4472,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203760,4477,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203761,71398,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203762,4474,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203763,4485,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,0,inactive,,0,inconclusive agonist,,0,inactive,BIOMOL
144203764,4493,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203765,39214,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
144203766,4581,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203767,4628,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
144203768,4636,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203769,4626,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203770,4615,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203771,4847,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
144203772,4828,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203773,4671,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203774,4740,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203775,16362,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,7.56242,22.2759,inactive,,0,inactive,BIOMOL
144203776,40632,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203777,6084,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203778,4927,Inconclusive,5,,,inconclusive,inconclusive agonist,26.8062,93.6895,active antagonist,25.3315,-89.4393,inactive,,0,inactive,BIOMOL
144203779,4932,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203780,4843,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203781,4992,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203782,54676228,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203783,1676,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203784,4748,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203785,5917,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203786,5887,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203787,61100,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203788,1046,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203789,4909,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203790,4848,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144203791,24351,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144203792,9373,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203793,4781,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203794,4781,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203795,6603149,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
144203796,4850,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
