PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,1^Activity Summary^STRING^^^^,2^Ratio Activity^STRING^^^^,3^Ratio Potency (uM)^FLOAT^uM^AC^^,4^Ratio Efficacy (%)^FLOAT^%^^^,5^530 nm Activity^STRING^^^^,6^530 nm Potency (uM)^FLOAT^uM^^^,7^530 nm Efficacy (%)^FLOAT^%^^^,8^460 nm Activity^STRING^^^^,9^460 nm Potency (uM)^FLOAT^uM^^^,10^460 nm Efficacy (%)^FLOAT^%^^^,11^Blue (460 nm) auto fluorescence outcome^STRING^^^^,12^Sample Source^STRING^^^^
144213004,3702,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213005,638500,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213006,9571016,Inconclusive,5,,,inconclusive,active agonist,55.973,39.1633,active antagonist,55.9433,-79.6903,active antagonist,49.8595,-27.8546,inactive,SIGMA
144213007,164512,Inconclusive,5,,,inconclusive,inconclusive agonist,,14.5628,inactive,,0,inactive,,0,inactive,LightBiologicals
144213008,61945,Inconclusive,5,,,inconclusive,inconclusive agonist,,13.511,inactive,,0,inactive,,0,inactive,SIGMA
144213009,5366352,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,28.4143,24.5574,inconclusive antagonist,,0,inconclusive agonist,,0,inactive,TCI
144213010,60196434,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213011,10402,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213012,134976,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Frinton Laboratories
144213013,62441,Inactive,0,,,inactive,inactive,,0,active agonist,,18.0537,inactive,,0,inactive,ChemService
144213014,97004,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213015,10886,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213016,12777,Inactive,0,,,inactive,inactive,,0,active agonist,,13.3375,inactive,,0,inactive,Alfa Aesar
144213017,3078952,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,15.9034,inactive,,0,inconclusive agonist,,24.9978,inactive,Enamine
144213018,21574,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,SIGMA
144213019,7663,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,14.3798,inactive,,0,inactive,SIGMA
144213020,,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213021,162222,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213022,21265,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,TCI
144213023,62336,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213024,70917,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Alfa Aesar
144213025,9989,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213026,34286,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213027,61346,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Alfa Aesar
144213028,67285,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213029,62902,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213030,657220,Active,78,,,active agonist,active agonist,0.00255076,77.172,active antagonist,0.00275391,-27.0327,active agonist,0.00346697,53.9825,inactive,SIGMA
144213031,75360,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213032,17181,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213033,12769,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213034,521196,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Alfa Aesar
144213035,31954,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213036,79242,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213037,3437285,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
