Quant m/z	Other ID	Compound	Ret. Index	Spectra	Kegg	PubChem	NEG_Pool_All_01 	NEG_Pool_All_02 	NEG_Pool_All_03 	NEG_Pool_All_04 	NEG_SF-100109-114720 	NEG_SF-100109-121711 	NEG_SF-100109-124896 	NEG_SF-100109-124904 	NEG_SF-100109-130034 	NEG_SF-100109-169058 	NEG_SF-100109-199550 	NEG_SF-100109-231142 	NEG_SF-100109-244079 	NEG_SF-100109-227718 	NEG_SF-120831-00062 	NEG_SF-100109-255622 	NEG_SF-100109-239012 	NEG_SF-100109-259700 	NEG_SF-100109-142930 	NEG_SF-100109-146730 	NEG_SF-100109-199546 	NEG_SF-100109-225118 	NEG_SF-100109-252159 	NEG_SF-110121-00073 	NEG_SF-110908-00016 
428.2516263		3.91_428.2516m/z	3.9118				170.5564941	148.8061114	168.6090329	156.2168992	209.3053151	114.6006917	159.1526169	292.7565831	263.944579	194.9386387	217.8127401	141.5175288	192.2125441	0	315.2005969	221.7189794	264.6592981	134.8856774	323.4247249	411.1989421	176.5428337	115.9345197	56.66790068	77.9267003	164.5739529
686.3260872		4.07_686.3261m/z	4.066816667				453.8926643	489.8499976	498.2303044	504.8155189	568.7129608	497.1851122	473.3350609	690.3827939	668.2975465	621.2248867	730.5490546	388.0037587	625.2591233	52.41485044	776.1402031	1005.43265	591.2174095	266.5339077	904.4705555	740.6646908	586.341895	552.9383972	120.3522742	101.2033667	549.3166515
675.2899599		7.84_675.2900m/z	7.840383333				697.2468271	693.2539857	733.4532843	672.4672469	572.7622715	538.8552133	611.3593525	970.1759689	817.8004681	641.8329308	977.9253237	918.8247595	773.8682617	1554.762984	730.4431676	804.7346582	925.7091954	552.1611761	1453.24863	780.4758939	961.2049188	397.6367262	551.2860568	1178.102926	741.3226554
118.0290554		6.14_118.0291m/z	6.140916667				108.7983459	107.8052887	114.6120602	103.7895774	0	21.66193348	175.2596476	122.8445219	156.1055129	236.1210379	0	0	40.74074179	602.7836494	0.068344792	293.0578408	0	305.4973124	8.327800539	99.6119421	1.07E-07	200.4747668	112.3846271	45.89656136	0.062867932
484.251655		2.26_484.2517m/z	2.26325				350.7323523	372.9017044	360.2664235	378.2957136	330.9048312	300.8424863	442.8160856	513.1778225	622.2312799	267.1343394	489.7603055	364.8595504	546.2996283	90.52108564	651.8615404	440.8943042	419.9098464	216.4385562	657.0323115	761.9994416	329.8543246	116.5558371	250.4061891	19.57400733	529.5009811
717.8382802		7.52_717.8383m/z	7.51915				981.6853122	842.0355934	879.1708501	766.3820827	1144.742929	1062.611747	955.0654125	1245.91691	1475.355356	865.0518666	1039.630493	1024.175771	1095.750401	854.5019816	1243.398296	975.6468436	791.0046311	846.6192779	3077.060026	1260.924337	754.519692	609.1088137	617.0365521	562.736639	801.4776671
253.0482167		6.14_253.0482m/z	6.140916667				1597.541255	1606.584557	1585.309267	1587.977713	0	742.1867379	2714.190083	1627.53822	2279.388809	3281.33159	0	2.144008063	891.8199148	8729.705375	0	4442.002213	0	4478.795183	115.347241	1632.535932	0	2930.748135	1962.033265	112.9444228	111.5614934
941.9382911		6.80_941.9383m/z	6.803333333				543.5052447	540.6095069	554.2327697	496.0158533	592.2693857	391.0630067	578.0004841	719.031794	697.3185842	504.5806433	479.0775111	487.0971667	734.1997721	35.93393862	1299.249675	695.5818692	670.4321094	402.3402811	369.1652694	745.6194043	428.9318689	211.9937912	32.40605948	710.6885337	644.1477612
755.8794032		8.23_755.8794m/z	8.2321				634.0857367	720.0184925	710.7978662	685.2480072	524.0577479	387.5283955	236.982003	1057.494977	607.6461454	415.5951871	612.0371622	887.7754318	1655.484276	37.08512702	2055.588411	721.6105953	443.8441889	1338.922982	547.750175	676.8156131	522.4134583	107.3453984	138.9727969	1204.879305	367.1382419
109.0282354		3.28_109.0282m/z	3.283383333				444.7533278	412.0442335	464.2011837	432.3995803	876.8093215	448.6311096	230.1416616	288.0291076	553.7737629	211.4371295	338.5344221	627.9241899	728.5924252	432.4889262	331.1847189	316.2798932	468.1543429	439.2367768	210.2181968	404.7440894	405.9259777	653.4099432	722.7922641	507.4472862	719.4059064
384.0258817		6.14_403.0437n	6.140916667				2818.503494	2758.501819	2775.782423	2882.90664	0	1344.790039	4537.836043	2675.346346	3615.249751	5225.551944	0.147485582	250.0999892	1567.096311	12324.70106	0	6632.144252	67.88753208	6900.831177	765.3499599	2735.14671	14.38515143	5261.517407	3678.72483	1132.019655	1003.332049
665.2135591		0.78_665.2136m/z	0.783566667				10978.26814	10687.35736	10606.3413	9667.463143	15359.61896	28274.16666	7194.990894	14402.21487	15002.84487	8255.313462	6436.707969	6915.894349	6903.784615	5862.703501	27855.42872	8624.031014	8659.071667	5615.165927	5034.171944	9063.346295	15068.73762	5837.434901	35667.20059	2268.395579	9090.6663
953.447775		6.84_953.4478m/z	6.83715				6908.668466	6820.070031	6996.682938	6722.052779	4233.442883	5700.433388	4632.125984	12512.74972	6062.517499	6824.420024	12489.87732	7947.363605	11793.40652	5910.350242	9137.761202	8158.364492	6292.592577	9913.466895	4740.827032	8190.449157	10447.14752	6917.222264	9902.38818	4407.377333	5977.209873
161.044356		2.55_161.0444m/z	2.553516667				592.9325413	595.9672649	587.7161079	616.9079344	303.649772	1327.872024	135.2386847	1283.071747	288.0540997	266.9777648	104.9847638	591.259243	294.0958189	423.4416455	1533.388258	888.0074865	751.5531705	231.3710762	122.2700424	548.1658104	661.9044325	425.6825789	1900.874973	120.1244266	1220.708472
130.0865964		4.78_130.0866m/z	4.779766667				138.3955846	141.5312212	127.4848533	136.9568402	0	103.5910665	38.52465959	127.7938753	17.41274914	192.0547169	226.2827502	284.5649516	247.4545574	0	431.5813134	325.3503201	81.42039894	266.457919	135.396525	113.071481	89.71020048	31.50417135	145.25593	113.5042145	72.15886227
