Quant m/z	Other ID	Compound	Ret. Index	Spectra	Kegg	PubChem	CSH_sample_1-2_100uM Met  hours_pos_1132014.mzXML peak height	CSH_sample_2-2_100uM Met  hours_pos_1132014.mzXML peak height	CSH_sample_3-2_100uM Met  hours_pos_1132014.mzXML peak height	CSH_sample_4-2_100uM Met  hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _2 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _2 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _2 hours_pos_1132014.mzXML peak height	CSH_sample_4-2_370uM Hcy _2 hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _4 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _4 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _4 hours_pos_1132014.mzXML peak height	CSH_sample_4-2_370uM Hcy _4 hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _8 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _8 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _8 hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _12 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _12 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _12 hours_pos_1132014.mzXML peak height	CSH_sample_4-2_370uM Hcy _12 hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _24 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _24 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _24 hours_pos_1132014.mzXML peak height	CSH_sample_4-2_370uM Hcy _24 hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _48 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _48 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _48 hours_pos_1132014.mzXML peak height	CSH_sample_4-2_370uM Hcy _48 hours_pos_1132014.mzXML peak height	CSH_BioRec_Plasma1a_pos_1132014.mzXML peak height	CSH_BioRec_Plasma2_pos_1132014.mzXML peak height	CSH_BioRec_Plasma3_pos_1132014.mzXML peak height
627.54		CSH_posESI #270	4.84				209333	175026	232391	181330	137881	136743	136926	136592	145644	160882	173951	160183	221863	198355	238171	219420	246484	267547	226601	242430	252423	254470	291846	284508	265900	279225	274357	70030	63951	69264
887.57		CSH_posESI #275	4.87				59918	49956	64018	50796	44834	43806	42844	42447	43261	46985	50596	47081	65265	54084	69105	62966	69995	76376	63119	65469	68350	66644	75434	71427	71287	76571	72293	16881	16350	16972
577.52		CSH_posESI #282	10.8				50124	39112	56243	43866	33488	32826	30895	34954	37448	41579	41225	37828	49725	45323	54724	48022	53971	58156	49641	53696	49602	53931	59243	72914	65939	69699	72084	22760	22197	24062
876.58		CSH_posESI #285	5.57				21981	29763	20302	27632	28980	31922	31561	30604	33565	31998	29926	33127	30060	31823	28300	28312	27181	22433	28955	29004	27579	28003	26108	23624	24089	22902	22970	67967	67337	77246
1159.83		CSH_posESI #286	4.93				10641	10709	10636	11223	11742	11403	10807	10684	9405	9353	10160	9446	8978	9745	8935	10201	9076	8843	8073	5701	5423	5962	5957	5212	4538	4357	4448	40140	36509	39645
577.52		CSH_posESI #288	4.77				802273	765602	800353	724421	686780	652084	708285	696593	633697	674317	688107	684597	660047	596959	680521	675912	744709	744957	709362	727221	719101	752771	810051	842998	845247	857318	825157	30665	26893	28428
866.55		CSH_posESI #290	5.56				17545	20225	15826	19364	20218	21815	21692	20862	21449	19628	20663	21058	19152	20662	18646	20194	21098	17153	20422	21427	19941	20723	19268	17972	16922	16195	17434	34025	30440	32383
776.57		CSH_posESI #293	4.8				98716	91578	103532	93571	79192	76866	78008	78512	76120	83905	86783	80132	99209	98189	101816	99129	103262	113730	99057	100320	102447	100928	106454	143169	144132	140608	141192	18434	16867	18218
603.53		CSH_posESI #296	4.87				986637	910869	1030115	895380	914305	880993	942778	899495	806145	868593	930387	874253	889531	795816	891754	867694	880593	1003386	815398	664966	649882	673202	696771	557540	559930	549894	564175	15976	15224	15320
603.53		CSH_posESI #298	10.8				36681	29771	41995	31849	27398	27927	25778	28532	31052	33398	33971	31409	35701	30949	39473	29648	32470	36316	28996	27063	23182	25787	25495	32856	31733	31749	31226	12403	12260	12286
850.56		CSH_posESI #301	5.43				20822	29932	19058	26946	32581	34334	35366	35195	40200	33600	30273	33484	30451	33508	28191	34247	32483	25105	34893	36323	33737	35168	30347	29945	31379	31408	30148	44169	43984	52457
874.56		CSH_posESI #303	5.06				17239	20759	17679	19417	18069	18990	18921	19484	19843	20311	20005	20417	21022	23204	21880	21274	20403	20199	20011	19047	18614	17614	18978	15727	15469	14930	14190	13422	14270	18014
878.59		CSH_posESI #308	6.09				51044	52523	47522	52482	54735	55224	54560	55330	57427	57015	55635	55442	59401	60872	57527	55189	56791	52121	54085	57125	55701	55632	56688	64042	63632	63481	60890	4753	4967	7304
854.69		CSH_posESI #364	7.32				22114	14709	27464	18281	15995	14737	13699	14275	12594	14471	15830	13932	15767	14865	16204	15631	15058	19385	14310	15668	15080	15005	17625	16193	14615	14747	15781	3909	3772	3823
617.51		DG (34:1) 	6.84				364583	330718	383152	327390	356155	337220	335457	348998	299514	323063	313957	301825	313436	315205	333552	246197	259666	290598	251781	191787	198168	184164	210097	241467	270380	257808	278031	14332	14944	18485
643.53		DG (36:2) 	6.9				288358	247624	296430	259396	315913	300536	292160	293379	235142	250883	263466	239813	235900	237827	234909	199150	180890	212662	183610	128093	135162	120961	129185	145515	170744	157343	167696	8580	8786	10971
641.52		DG (36:3) 	6.44				13007	11255	13877	11106	13687	12321	11778	13230	10654	11520	11117	10058	10602	11958	11046	8655	8395	9991	9882	7045	7853	6752	6979	9992	12291	11364	12093	14716	14353	19238
660.55		DG (38:5)	6.23				22455	16798	25990	17351	20851	17616	16310	19734	13961	16541	17451	15927	17147	19473	19217	14185	13586	18882	16084	8810	10306	8773	8986	9972	12804	11071	12584	1873	1846	1717
662.57		DG 38:4;DG(18:0/20:4/0:0)	6.86				38488	27814	48092	28640	26570	24325	21999	26661	19901	23641	26041	21013	27536	31256	33991	24085	26446	34657	26949	20413	26160	24036	26750	32201	39632	35860	39197	682	696	713
413.27		Dioctyl phthalate	3.42				620991	538903	687749	583479	507298	515418	508037	531872	548478	547976	559729	535601	605674	597413	633515	597289	635345	686197	585175	590816	591656	592052	646967	683924	664927	673882	674708	1365195	1333638	1361620
784.66		GlcCer (40:1) 	6.93				145547	100073	191042	122380	80313	67632	71324	73318	62605	78966	83750	69513	115768	110012	139679	127037	138035	194945	122764	151110	155404	148405	182815	231116	198340	220948	223992	5988	5463	5493
812.69		GlcCer (42:1) 	7.59				171541	121880	226069	143785	114181	102390	99782	104930	88066	107556	118861	96882	127733	125454	158012	124978	135822	197805	118090	126035	131440	125211	148972	220390	190239	206546	209280	5096	4873	5241
810.67		GlcCer (42:2) 	6.89				427864	306615	547189	357317	259218	223895	221863	233712	194054	247758	274535	224055	324560	332776	407619	335232	353491	502205	308883	300108	309552	297981	357664	335678	297152	307502	322647	11835	10407	13682
972.73		Lactosylceramide (d18:1/24:1(15Z))	6.64				51921	39762	57283	44023	33754	30683	29567	31900	26109	30521	33062	27989	33143	31739	38808	29769	30909	39151	27481	24799	25348	25423	28610	30437	28509	29922	29967	2160	2122	2394
496.34		LPC (16:0) 	1.45				64362	46029	77548	59114	55634	52388	53379	55694	36716	47893	45108	38687	42034	51783	47307	41219	38053	51630	38219	37434	39281	39031	47683	55774	56784	50492	53251	1528858	1397268	1539871
524.37		LPC (18:0) 	2.2				117443	95224	143582	103583	144843	135202	129496	125592	98370	118890	106041	91174	98443	106445	102575	94283	83553	102377	72754	73208	81343	72294	78346	102647	102735	86467	87330	624394	591661	607517
522.36		LPC (18:1) 	1.49				46885	57832	58494	59602	65065	38297	71199	65085	49969	56746	59032	42551	45712	55076	71888	48140	57462	97155	54598	43103	41168	29944	44134	71424	68080	68940	39069	223481	205490	215774
810.67		N-(15Z-tetracosenoyl)-1-.beta.-galactosyl-sphing-4-enine	7.4				160183	104055	219696	122003	116906	93603	98512	103256	81046	103490	115192	93198	103810	98005	123153	85488	94012	144614	75906	61375	63568	59487	69345	50091	45558	48142	47769	1417	1291	1390
813.68		N-Tetracosenoyl-4-sphingenyl-1-O-phosphorylcholine	6.64				2592225	2095706	2916559	2261225	2146442	1988044	1969714	1986619	1783263	2024787	2189570	1883363	2111880	2088374	2362019	2053644	2133914	2623636	1931046	2029153	2011635	1985554	2216367	2188609	2061006	2093728	2134402	446659	402394	435070
760.58		PC (18:1/16:0) 	5.45				9350445	9070014	9480182	9144916	9004090	8879671	8866904	8899274	8721796	8941614	8985612	8801715	8975687	8956364	9094280	9048870	9056442	9344580	8938014	8888175	8910869	8887037	9079385	9523265	9459846	9453784	9458738	2534419	2366241	2475492
678.51		PC (28:0) 	4.19				1002439	808857	1212260	883135	835314	766686	765500	783402	627008	728583	758857	658217	645872	646415	690943	589814	563284	772526	537749	596649	599041	602451	665560	1001877	896416	914859	997207	3191	3369	3111
706.54		PC (30:0) 	4.77				6145922	5696996	6376565	5764914	5659065	5427898	5475046	5441043	5153648	5484619	5631181	5323323	5374738	5362847	5598005	5210396	5165383	5707759	5019357	4674044	4710376	4686633	4877612	5158885	4940181	4982931	5007721	68160	61518	67874
704.53		PC (30:1) 	4.27				1408868	1146637	1660203	1224691	1136574	1045670	1043181	1066333	803283	947924	1018542	877856	795199	789289	854077	678349	626698	862616	582863	478243	488713	491292	538578	759994	687366	682953	732277	4319	4105	4278
756.56		PC (32:0) 	5.36				478125	518963	431618	479839	525680	514774	526761	523507	530339	533234	536614	529512	495168	508083	502378	482828	481925	454544	475530	390660	395400	382813	371092	398248	392616	380392	370177	25829	22927	27418
720.59		PC-O (32:0) (plasmanyl/plasmenyl) 	5.78				3169389	2802639	3240730	2782016	2933546	2782856	2787345	2784510	2612696	2855517	2975295	2740161	2735861	2727099	2927475	2638438	2630623	2963207	2475957	2107651	2102467	2068670	2187245	1482027	1344121	1346056	1439244	35509	33240	36670
732.55		PC (32:1) 	4.84				7673117	7264790	7885615	7366680	7155284	6959221	6922690	6956057	6553544	6918958	7041156	6756161	6768679	6807424	6956988	6651902	6511167	7130658	6368353	5909924	5949241	5946163	6184966	6814800	6589774	6621617	6717266	166919	152291	169958
754.54		PC (32:1) 	4.85				924864	1016008	877765	989797	1020646	1025416	1039371	1006275	1044169	1007384	984711	1023501	981144	1031684	960758	1062998	1022590	990352	1046594	1054285	1058636	1056823	1026481	1073530	1083668	1071139	1074774	22865	19345	25082
730.54		PC (32:2) 	4.37				1273170	1018892	1481285	1085327	966920	877828	877194	893410	658070	784474	856218	739709	655225	651597	702687	533553	491123	671023	460327	265509	275647	271811	309581	358195	330360	322993	351189	40209	37541	39182
728.53		PC (32:3) 	4.76				1006237	997350	978089	979221	1021296	992504	1002961	1007858	948756	982199	989942	954543	952629	950364	975001	984690	959161	986488	944224	864527	876177	860677	893422	926039	895349	885925	909159	9448	8237	10079
746.57		PC (33:1) 	5.15				1682808	1435325	1864261	1522763	1286300	1167819	1178555	1205270	1104560	1257365	1292827	1178955	1316142	1311984	1419069	1289264	1295628	1551375	1233550	1227373	1245248	1219682	1356561	1788455	1715542	1735225	1749199	29884	27801	28664
744.56		PC (33:2) 	4.65				283687	219896	350433	252150	194863	177516	170453	177677	146180	175979	191805	162078	169661	169651	184587	146145	138765	189248	128238	83203	86865	85613	96359	100222	91663	95111	95974	39246	35795	38405
748.61		PC-O (34:0) (plasmanyl/plasmenyl) 	6.46				808264	649012	911647	662019	680716	614930	610734	630015	575750	658020	718050	613261	687910	681181	788095	651592	690113	834883	616473	539063	544910	525628	585740	439903	392808	398889	433580	5567	5400	5615
758.57		PC (34:2) 	4.93				5463791	4994796	5805328	5184530	4936311	4741852	4707692	4711822	4252937	4639740	4759362	4476924	4455898	4453917	4599579	4306510	4143329	4739403	3908448	3153512	3198853	3165155	3363209	3117646	2940990	2964666	3048221	5484053	5255246	5455966
744.59		PC-O (34:2) (plasmanyl/plasmenyl) A 	5.31				789727	663263	890327	706232	653153	629852	615086	597399	543031	610648	656808	582826	621463	620874	643337	661647	623459	769678	570840	588013	577708	596140	632084	538726	506081	512078	537336	101662	90007	98462
756.55		PC (34:3)	4.59				294029	231442	364650	259832	207171	192179	189758	196165	166144	199572	208285	188218	203648	210584	224578	179427	170778	225411	157696	136704	140328	133628	133652	142042	139661	138507	145562	79423	75642	78368
772.59		PC (35:2) 	5.24				1176712	1009885	1308548	1072835	879599	834831	827964	837589	760141	856864	884427	817547	876002	871070	926840	860664	846532	1007290	795081	696735	705337	685993	757472	736389	708679	726447	726506	110601	100161	107759
770.56		PC (35:3) 	4.77				58753	53950	65505	60942	45361	41548	41375	42210	44773	47900	46242	45635	53562	52950	55183	53765	53795	60101	50456	39701	42566	39478	45638	32733	35409	35279	33616	15178	13492	14012
788.62		PC (36:1) 	6.11				4452225	3887479	4850329	4158301	3935677	3691578	3661813	3746067	3607802	3925526	4035317	3759994	4186278	4098662	4401605	4132100	4249512	4633854	3982120	4230263	4186409	4186224	4488333	5693593	5513568	5565862	5632498	487039	446061	466062
786.6		PC (36:2) 	5.53				8231512	7982257	8442740	8108938	7894890	7788163	7758818	7704799	7494380	7732096	7822444	7648945	7731545	7728629	7764831	7826055	7722634	8068658	7570094	7203229	7204913	7170261	7311691	6675344	6571651	6581544	6614012	4459552	4201692	4356180
772.62		PC-O (36:2) (plasmanyl/plasmenyl) 	5.9				1879047	1592485	2120972	1705909	1594338	1518528	1491904	1504064	1344582	1506549	1594635	1443104	1596280	1558947	1661873	1706381	1663991	1993353	1546236	1818888	1820657	1824223	1970714	1676962	1554525	1583349	1674735	30875	26361	28666
784.58		PC (36:3) A 	5.06				2145681	1838654	2450773	1981355	1551792	1485025	1447501	1474912	1411074	1637177	1647772	1546975	1800864	1768054	1872790	1752136	1677433	2028278	1591460	1281057	1321636	1274791	1436350	1051669	1015226	1054869	1031293	1168212	1080459	1159083
