Metabolite name	Local ID	Units	S00008979	S00008980	S00008981	S00008982	S00008983	S00008984	S00008985	S00008986	S00008987	S00008988	S00008989	S00008990	S00008991	S00008992	S00008993	S00008994	S00008995	S00008996	S00008997	S00008998	S00008999	S00009000	S00009001	S00009002	S00009003	S00009004	S00009005	S00009006	S00009007	S00009008
UNKNOWN U09127, BP *310.23627*, RT 3.733	631020	Counts	31113	41941	39937	26707	65207	118709	32378	136268	13496	102365	43297			125690	125888	13450	103709		51483	64654	111613		41678	111547	130671	193015	31066			13685
UNKNOWN U09131, BP *311.12387*, RT 2.684	631024	Counts	685865	439625	467561	367546	327483	356676	338248	525025	517264	391456	666990	369563	577545	371034	531743	568388	535105	435031	495219	771739	524272	588459	436831	584231	650570	511752	578047	563009	504642	589929
UNKNOWN U09146, BP *312.12985*, RT 2.709	631039	Counts	153600	82222	67292	77031	105439	74654	81760	153124	98799	119259	194139	98057	196321	107804	160908	167501	158204	135699	155453	16848	164846	200811	137785	163815	192359	147930	150403	164863	163925	180160
UNKNOWN U09202, BP *316.207*, RT 2.846	631095	Counts	2625412	2460228	2301482	2248850	2269997	2544286	2143302	2732851	2625606	2234503	2301610	2081149	2507042	2333414	2234322	2454337	125002	2274943	2351368	161351	2594659	2810025	200725	2878354	2639681	155095	2434526	2388390	2417151	2580564
UNKNOWN U09212, BP *316.31399*, RT 3.741	631105	Counts	202610	15053	194529	27975	12155	23697	233921	27576	197214	244880	43249	124958	108052	111045	153231	9010	129832	10856	65195	140419	21975	11184		18051	34119	293863	274530	247309	163800	327758
UNKNOWN U09216, BP *317.15107*, RT 2.795	631109	Counts					28054		28929		24975		20653			23532					32536				26861			39768			22484	
UNKNOWN U09253, BP *319.19615*, RT 4.605	631146	Counts	19509	46349	42786	21105		17956	25395	58941	14030	16618	18532		10550	7842				12471			11729	15923								
UNKNOWN U09266, BP *320.25619*, RT 4.098	631159	Counts	19738				11346		25983			9505			15781	21285	28996	28873	21984	70461	23996			22663	23378	112679	54162	92145	20489	21834		35905
UNKNOWN U09278, BP *321.21519*, RT 3.329	631171	Counts	66259			66780	34946	56208	25386	77104		37625	33646	66064	72352	73525	44173	52780				56529	54644	66570		35548	80770				19365	
UNKNOWN U09408, BP *332.55782*, RT 3.779	631301	Counts	3087847	3474186	2783399	4193192	3092780	3365403	3600553	3556496	2449935	3050247	4224755	8907816	8059478	9412605	11969870	9015417	9132792	8768798	11162504	8169192	10783417	11227987	11203135	9121412	10763388	5552079	4677048	13926694	8394101	6597350
UNKNOWN U09410, BP *332.67056*, RT 3.772	631303	Counts	249520		1106538	1278134	1284134	1041600	1031876		100600	477156	2356338	2647644	2274479	1614415	1864754	2021247	817819	1762041	2545456	1199415	1100896	465112	2027682	367779	933008	2930642	878116	1365819	1183585	784951
UNKNOWN U09411, BP *332.71865*, RT 3.774	631304	Counts	1736246	2208397	1739546	2699749	1801645	2105267	2310405	2202046	236350	435099	2644111	5888435	5417262	6555316	8016097	6030641	5912516	5977611	7314419	5264616	7483154	7587010	7330709	6249534	7405325	3437071	1708906	9124841	4694610	4224655
UNKNOWN U09421, BP *333.16436*, RT 3.7	631314	Counts	234221	568235	389004	662268	519099	121040	363796	589064	96715	80062	439185		1126418	1625338	581126	546987	1090562	1768567	339105	1071065	1013738	1432779	558765	1286349	2073506	597741	266305	1093910		
UNKNOWN U09432, BP *333.50008*, RT 3.775	631325	Counts	1911985		1660978		1842639	2141480	2217127			103498	2805693	5940527					5929069			5302184						3483454	2885701	9294673	5272842	4262701
UNKNOWN U09448, BP *334.9147*, RT .426	631341	Counts	45803	60951	46564	45449	46993	49963	46897	55834	49893	45238	54797	37769	58249	46926	46156	46031	43681	48878	57191	62132	68150	56512	75522	55228	79665	58787	67449	67189	56524	69785
UNKNOWN U09451, BP *335.08792*, RT .77	631344	Counts		164641	36889	113527		32934	60972	232881	156500			143836	227915	198438	28999	25089		12698				12427	178373	150961	180076	199471			190058	12520
UNKNOWN U09472, BP *337.0627*, RT .673	631365	Counts					10527				12701			9585			11706							7225	12742	7180	17758				13141	
UNKNOWN U09533, BP *343.02697*, RT .436	631426	Counts	57740	63218	57462	68765	67077	79933	76504	57478	78250	71918	87191	85627	76650	69730	78420	58347	74058	82939	82270	71653	69809	50628	58309	58963	60553	52132	68889	49634	39860	54016
UNKNOWN U09537, BP *343.19535*, RT 4.664	631430	Counts	109762		146349	62024	56132	144351	162744	146263	7507	129750				19912	13840		24361	9148				18247	7218				10946	18436		
UNKNOWN U09549, BP *344.18476*, RT 3.6625	631442	Counts	2913722			3357921	2973759			3939331	2499654	1900670	1483639	2736294	3485786		1977714				1261773				1268042		3777265		722230		426993	
UNKNOWN U09559, BP *345.12997*, RT 2.498	631452	Counts							13475		25685	8766			12533					8633	8254	10280	10282								26185	19025
UNKNOWN U09570, BP *346.01*, RT 1.227	631463	Counts	50566	9290						30551					26829			6627	91824	25595	14872											6237
UNKNOWN U09574, BP *346.12314*, RT 1.285	631467	Counts	27227	80817		76941		58869		75129		57140	35447	25262		38738		58713			16672	56861	73269	56586			89714	12225			22808	28754
UNKNOWN U09580, BP *346.31074*, RT 3.4655	631473	Counts	295279	182824	119913	197536	88533	30409	175606	23847	158501	163866	480690	35170	390269	491375	443551	465352	371225	391616	415245	346426	459968	484396	420185	376560	471565	247475	151416	588278	123197	244696
UNKNOWN U09611, BP *348.32611*, RT 3.4985	631504	Counts	305163	340993	321101	407575	460003	356197	389939	375562	160980	530326	1845594	1389984	1561298	1860554	1636583	1566878	1322211	1594811	1707634	1265074	1849970	1699638	1472420	1493083	1929734	606952	590766	1863291	997431	739115
UNKNOWN U09642, BP *350.35505*, RT 2.981	631535	Counts	10311	8433	14949				12733	19856		11030	19103					10642		12412	6849	9235		12080	11563	16552		8894	5591	8996		
UNKNOWN U09686, BP *353.26705*, RT 4.535	631579	Counts	1362684	1854134	2791921	911822	716919	2177419	3195522	2083427	635222	2077305	2717899	1265901	678745	1989111	1284675	1534373	1938087	1667913	1454115	960882	1173138	2221787	1123245	1851600	1937572	2214322	2071575	1862520	1092254	2052157
UNKNOWN U09714, BP *357.24934*, RT .622	631607	Counts	101882	97497	89692	95510	108501	101357	83226	102679	98325	79926	94197	123626	141287	105405	85944	129809	79650	116072	96784	123925	141337	125024	105447	164505	158978	87581	139215	126705	110487	145608
UNKNOWN U09727, BP *358.2962*, RT 3.687	631620	Counts			10127	21380													10343	18420			11077	11587			11174		12978	9628		19846
UNKNOWN U09742, BP *359.40696*, RT 3.834	631635	Counts	49205	120573	106506	141208	26260	125879	15340	64857	34716	62385	38034	62963	84242	101039	12029	156728	33854	87244	47990	41994	79976	55334	20904	43183	89611		12232	9662	19122	26012
UNKNOWN U09774, BP *360.76479*, RT 3.9055	631667	Counts	1051494	1350431	1141469	1740078	1371653	1535996	1464861	1672661		375962	1039866	1260428	1470597	1956378	1659446	1715595	1213895	1798489	840324	1032461	2567508	2164454	1542398	1632791	2855152	2136939	1522547	2274483	1903983	2637985
UNKNOWN U09791, BP *361.36755*, RT 3.857	631684	Counts	35608518	35246935	31254440	42805430	35770368	39218290	40177339	40261872	30800956	37322906	25141148	36093484	35873511	44871317	44714910	40253915	33747636	42147132	39947488	30120143	56279949	50790629	42598861	41658670	60461283	53178875	44328502	60848174	55791463	63274827
UNKNOWN U09792, BP *361.53773*, RT 3.919	631685	Counts	1397802		1196308	1952032	1422697	1570658	1628205	1748841		181385	957038	1324475	1539882	2057355	1798996	1718192	64482		1427852	1046826	2785666	2219852	1616757	1828267	3055831	2189156	1690029	2521061	2141753	2948156
UNKNOWN U09795, BP *362.24058*, RT 3.11	631688	Counts	645298	828557	510809	761787	648445	838911	556171	978623	547389	640753	520459	648663	820624	676167	555372	774497	519137	732773	651569	587729	712962	672156	458948	802158	651459	419164	506392	477502	382332	515588
UNKNOWN U09803, BP *363.16296*, RT 2.965	631696	Counts	199312	221956	171325	209360	204261	202605	162607	270115	198441	159039	176205	166728	204810	194054	142555	195092	184303	199820	171043	188060	247412	223631	188634	231716	246069	191713	174209	203972	170744	188630
UNKNOWN U09870, BP *368.42494*, RT 4.531	631763	Counts	40241						46195					90314		44740	31145	27431	65726	11693		25750		38251	33538			418235	46265	22623		
UNKNOWN U09946, BP *375.22821*, RT 4.7655	631839	Counts	141299	193192	166394	69403	85255	174606	161052	183807		31314	51377	47532	70110	129636	71418	29722	151822	87450	42962		64077	46422		45295	25333				44682	
UNKNOWN U09986, BP *379.22103*, RT 2.777	631879	Counts	8462		24417	12623	12766		6141	5913		21354			11552		10570		11785			21868		20868		9213	8607		26389	7404		5379
UNKNOWN U09999, BP *761.03847*, RT .55	631892	Counts		15918						9316			6558		12078					10815			13181			9582	18005			7742	6253	15147
UNKNOWN U10094, BP *393.20097*, RT 4.607	631987	Counts	14257	10680	17838			17210	5821	21075					9778								13180	17831								
UNKNOWN U10095, BP *393.20953*, RT 3.025	631988	Counts	384743	411919	318789	357516	337944	408559	352408	429443	375973	393138	374822	363403	391763	355849	356029	343717	313471	381444	454456	448804	413661	347407	348333	429637	435483	338455	431194	401263	373823	360247
UNKNOWN U10149, BP *400.34291*, RT 3.911	632042	Counts			16339	26327	42495			15140			44949				24566	51065	75698					23666					34786	69445		35175
UNKNOWN U10176, BP *402.90186*, RT .409	632069	Counts	53817	67653	53436	63780	62291	55344	48349	66002	65311	48572	64053	48963	65972	52015	63209	55159	59991	56784	65016	64615	84926	63010	70649	61063	93475	73440	75527	85356	65721	90345
UNKNOWN U10184, BP *403.29368*, RT 3.723	632077	Counts	7037	18968	14554		7973	18327			8690			8319	17082	10337						9326		12477	8233	8577			11213	10344		13747
UNKNOWN U10205, BP *407.19227*, RT 3.018	632098	Counts	42527	219692		195482	176432	219278	196986		177308	174141	168881	164107	204110	192671	183478		181432			222119	229512	183467		238951					182110	198142
UNKNOWN U10271, BP *412.77966*, RT 7.7235	632164	Counts	213063	323265	108860	322286	240971	128948	168740	172753	220711	212942	172945	199341	65413	249331	232762	96835	151959	287762	188740	305096	177705	259461	277911	231119	621456	533318	306188	296484	299035	255302
UNKNOWN U10285, BP *414.88365*, RT .409	632178	Counts	92231	73382	76734	60949		83191	95490	62542	82617	93556	85622	73811	83975	67351	73292		79146	68290	77542	115012	79505	62799	79396	83762	92064		96728	85900	60442	61151
UNKNOWN U10360, BP *424.89737*, RT 7.608	632253	Counts	53901	34840	17108	34652		30288	28506	58414	23320	37819	30980	33085	61176		33719		24645		30529	55048			20270	21659	15835	29647	37119	24003	11109	
UNKNOWN U10375, BP *425.28857*, RT 3.88	632268	Counts	164105	46995	12810	44526		89770	106116	325465	30883	38020	58837	78588	43613		19725	37361	40820			78458	640068	95825	53693	112107	55301	277345		81189	76041	15609
UNKNOWN U10520, BP *450.25325*, RT 1.515	632413	Counts		57668		75967		42097		85447				51470	66053	49501		70052		45510			69560	79373	31078	84214	41904			53470		
UNKNOWN U10540, BP *454.18278*, RT 2.51	632433	Counts	101454	75685	55281	75441	84061	74627	80576	74559	90232	101976	190737	131828	160707	137287	159827	128418	148450	146386	144298	99723	477761	460520	398828	470575	485380	424651	404401	397874	451253	409303
UNKNOWN U10581, BP *460.25*, RT 1.476	632474	Counts		61368		79244		57040		81830					62669	25196				20687			29568				29027					
UNKNOWN U10596, BP *461.18788*, RT 4.606	632489	Counts	18712	32497	10377	8956		43867	8837	48573	6422	13826			9713	14464							9493									
UNKNOWN U10597, BP *461.24117*, RT 3.082	632490	Counts	104884	159146	68986	47176	27347		26084	67005	46998	74585	52154				69837	101147		59184	95435	80566	71401	107258				79358	97328	102975		
UNKNOWN U10648, BP *469.33015*, RT 4.818	632541	Counts		25569													19153			23996	20732		54251			16999	101836	105002			36410	
UNKNOWN U10656, BP *471.19887*, RT 2.632	632549	Counts	75752			51520	43333		40803	64910	29397	38077	18740	16894			32542	43169				30176	68057	75171		60864			54707	13404	19301	42872
UNKNOWN U10732, BP *480.34766*, RT 4.489	632625	Counts	210618		164987							398763	179054		63427		196922	133624			433932			352012			303542	296482		304984		358474
UNKNOWN U10771, BP *486.30478*, RT 3.5955	632664	Counts	127015	152213	139478	152412	120678	149112	72039	130513	138048					108438										99306	74723	91065				72400
UNKNOWN U10806, BP *487.91691*, RT 3.055	632699	Counts	15819	10570		21479		34590		13167	27624		19403	13297	24791		11310	35947	30558					22568	11910			15518				
UNKNOWN U10809, BP *487.92722*, RT 3.054	632702	Counts		10576	19062	29602		38099		28588	25168			12202	20636	26418		33355	17580	36666	33925		29955	33943				15909				
UNKNOWN U10820, BP *488.23621*, RT 2.547	632713	Counts	100536	77251	73573	82811	75340	77629	118503	85503	109544	62456	47923	21221	33080	40644	24895	53651	44129	47442	49494	36090	47570	66508		56352	40567	43911	12834	19434		33133
UNKNOWN U10836, BP *488.39992*, RT 3.0595	632729	Counts	18554	6635	15134	5452			9311	14526	17815			14591	16165						6465		7834		7343				12948		17035	5441
UNKNOWN U10932, BP *502.32455*, RT 4.459	632825	Counts	359440		364214	279960	237011	279129	488171	261657	288093				131501	290083		219838		213274			297178	333730		317497	498827					
UNKNOWN U10941, BP *504.44501*, RT 6.1205	632834	Counts	11741	106453	18417	61428		60523	52213	252731		26616	30329			9779	13101	39901	51985	63265				23917	11539			12388	29981	17332	13568	12164
UNKNOWN U10968, BP *508.37643*, RT 4.5795	632861	Counts	77748			82463		131370	101880	118726					43731			30575		30365	63705		203668	190622		130308	298488	489120	150857			304586
UNKNOWN U11002, BP *514.29077*, RT 4.012	632895	Counts	146468	187061	158585	130121	69072	196600	190151	188925	18220	36920	18087	16716		45388	21260	28939		31601			21924	51293	17860	63125	69354	39233	12101	31664	27937	54115
UNKNOWN U11035, BP *520.51039*, RT 6.894	632928	Counts	377764	748415	520843	789801	458663	914337	723528	939819	224628	538669	832432	729998	765180	817499	695016	785013	639135	794217	688216	157455	992665	906948	573614	747342	987211	791195	350326	312254	179820	536830
UNKNOWN U11067, BP *524.65496*, RT 4.619	632960	Counts				19129		33384		37575		11818				30266	7150	9422	10334	6491			12595	27783			32628	52604	24535			28640
UNKNOWN U11139, BP *533.36753*, RT 4.106	633032	Counts	151419		168244	184463	68722		174864		117715			80359	145462	184271		207841	137336	176769	111973	132800	139695	182186		209045	183178	165331	174986	39011	18306	
UNKNOWN U11157, BP *537.2936*, RT 3.572	633050	Counts	72363	98237		124915	58220	50404	60366	116444				32819					31952	55774	34251		42452	73666		56623	23751		40128			
UNKNOWN U11169, BP *538.78348*, RT 2.931	633062	Counts	59293	32766	30512	23999	29866	33224	30952	27744	12510	26459	72851	27716	57458	13785	49806	59899	41780	55883	50082	53057	20240	35314	19102	55138	69878	19453		16122		59131
UNKNOWN U11171, BP *539.03344*, RT 2.93	633064	Counts	21573	11671	9446	8066	8031	14606	12428				42406	15968	14105		28040	20434	14731	45051	31273	25851	7966			14860	42439			6110		33655
UNKNOWN U11172, BP *539.2652*, RT 3.092	633065	Counts	61752	124798	127929	108956	243031	104190	211946	162035		41649	156961	120637	98307	138257	174330	91369		139865	161197		108072	163570		95123	114428	106196		273585	76581	
UNKNOWN U11195, BP *542.32654*, RT 4.135	633088	Counts	1169129	1380600	1356041	739328	613013	1211670	1278256	1106282	699969	907296	293551	402584	230481	564124	441854	476807	505988	338315	338211	367652	345220	557609	343129	486827	636013	587385	282601	687744	348314	768595
UNKNOWN U11211, BP *544.5429*, RT 4.432	633104	Counts	5797	20214	30273	23509		67447	57474	53285	11473		39312			7672	9849	6413		19403	7911	19190	10690	52675	11814		25468	52198	39022	20954	33276	19589
UNKNOWN U11232, BP *546.85585*, RT 4.574	633125	Counts	38305	65436	128031	21151	31889	44332	53094	51166	50307	66061	42705	25510	29166	104362	54759		61578	55735	18252	53459	88632		79098	84791	176720	285150	34998	61307	103193	135664
UNKNOWN U11248, BP *549.78963*, RT 2.9815	633141	Counts		16558			14486		8419			19552	14861	27886	38169	12133		15285	16037	16949	24666	59964		24528	14006	62831	38130		11473	8544		45893
UNKNOWN U11361, BP *561.39708*, RT 4.38	633254	Counts	877415	754741	729739	497875	539336	850208	876926	797480	548559	785710	827781	746404	618299	830681	635108	799748	765972	638840	627536	569485	861579	952440	598983	784321	937208	6518570	502452	515848	417653	1002860
UNKNOWN U11366, BP *562.35025*, RT 3.973	633259	Counts		34188					21047				32486	52528			14552		26301	44999	33706	28507						27145	31670	40961		
UNKNOWN U11371, BP *563.37671*, RT 3.79	633264	Counts	201392	223916	197302	231990	205342	227417	217150	254797	192053	82781	106652	173305	201009	208636	94101	175202	268545	224660	114665	121955	202510	187655	100691	197454	199373	288876	242083	76686	96565	140242
UNKNOWN U11408, BP *570.35588*, RT 4.294	633301	Counts	44997	120028	140916	95862	90758	124560	90138	48674	90157	73419	33561	25029	31656	62944	55814	44143	28152	39876		21664	63908	73179	48280		152894	239045			63259	
UNKNOWN U11438, BP *575.3331*, RT 3.772	633331	Counts	27395	25747		20809		20679		20023		24028		23736	34873		28982	46450			24142					38281		27947	19100	11373	20788	
UNKNOWN U11494, BP *578.7986*, RT 2.9635	633387	Counts					10789						19487		7559						13830		29692			11751	18762	15243		14595	15117	23360
UNKNOWN U11565, BP *595.34801*, RT 3.277	633458	Counts		93634	44247		85563			92250		38419				61324		92258		39091			106925		49978							
UNKNOWN U11664, BP *606.63619*, RT 3.047	633557	Counts		37404		8418		56306		35183			36316		34703	30587	31502		47018	14975	21975		32755		30008		27949		39255	23362	19828	38184
UNKNOWN U11674, BP *607.566*, RT 2.975	633567	Counts	17685	12367							20885	7443	49445	14954	20175	40801						15970				14583		12568		23389	7273	
UNKNOWN U11677, BP *607.81627*, RT 2.9695	633570	Counts	14523											16063					10518	14709	20586		32391		19047	12962			15724		15847	26081
UNKNOWN U11738, BP *616.17792*, RT 3.5635	633631	Counts	50195	52300	47173	70673	65800	58923	59036	66529	45909	42291	96599	70331	92621	74314	126980	92995	78541	79084	104300	93958	146624	142239	140985	114234	161590	191265	111557	123373	70039	220930
UNKNOWN U11760, BP *618.32228*, RT 2.889	633653	Counts	192636	202565	25415	180589	236201	243370	247107	208165	224639	232093	194811	176113	167167	221551	203817	164442	154700	183779	213381	177487	436364	380796	347549	376921	464270	343904	459095	390594	391424	45593
UNKNOWN U11879, BP *638.10042*, RT .838	633772	Counts	7764									10425		33533	17626		26028							13115			18844			15440	14991	
UNKNOWN U11907, BP *643.52861*, RT 6.676	633800	Counts				375420	9910			16581	7618			33078		31490		18561		54523	28520		28595									
UNKNOWN U11961, BP *653.31139*, RT 2.8945	633854	Counts	255230	226202	150150	235523	167498	223596	172963	237452	120061	111668	383171	304521	468795	300966	287343	434175	380489	376921	350616	431155	261779	310908	394880	734151	566822	232647	444317	343016	425328	582901
UNKNOWN U11971, BP *655.5379*, RT 3.104	633864	Counts	14499		15802		40082	17573			18143	25392		19154	28538	25644		24201	24661	13892	29712		44861	22052		26034	12822			19704	31102	11507
UNKNOWN U12020, BP *665.51385*, RT 6.345	633913	Counts	447233	102860	144196	861279	14985	106468	124564	200596	22345	54925	359630	185900	356977	63272	85822	290578	84308	270128	82362	111601	325166	558664	7746	572423	241258	95575	267265	52111	30050	109633
UNKNOWN U12030, BP *667.52921*, RT 7.6445	633923	Counts	316227	280195	152296	22774	138977	299920	286872		562510	327407	41691	175614	621698	222339	411933	234792	297227	101167	323467	401106	99536	239792	248393	324181	48718	143122	89857	87993	98861	62060
UNKNOWN U12088, BP *682.10581*, RT 3.114	633981	Counts	32035		31345			23796		20075				33002	18155	47410			38848	28324	42303	42131					51112	115738		17160	36209	54598
UNKNOWN U12103, BP *685.43561*, RT 4.7045	633996	Counts		151790	116468			162500	7904			56676				305492	92916		62834	101764		92586	274996		137001		461895	406327				
UNKNOWN U12146, BP *692.56079*, RT 7.0545	634039	Counts	421588	838844		839602	621002	546201	324070	824638	369985	427862	230241	389032	386653	894639	498851	796655		633169	580700	379422	1839908	1738719	1133210	1509526	2056291	1859224	1300903	688455	817438	1631903
UNKNOWN U12206, BP *703.90499*, RT 6.5465	634099	Counts		92694	102809	57513	174160	55261	132398	204082	98068	119082	51969	120943		77140		127971	63477	78517	184374	88818	178974	110865		76581	199082	84898	55029		93742	227957
UNKNOWN U12212, BP *704.81045*, RT 6.56	634105	Counts	17948	12974		41199	36557	39432	35145	63954	37905		32467	51365	25284	26381			26999	19917		29311	40802	43281	54454	40601	41712	20254	35623	52118	72377	40648
UNKNOWN U12219, BP *705.18538*, RT .73	634112	Counts	711101	1494424	377037	1320039	863707	1075407	563233	1304534	152714	739532	706661	714247	999350	1026999	151756	739900	498864	1041593	819955	300092	1780436	1469684	190484	1816800	2378361	207497	999419	1039422	1192791	1280944
UNKNOWN U12280, BP *711.33112*, RT 3.046	634173	Counts		54110					101211					81466		83039	47989			115462	71832		89014	103781					41636	85259		
UNKNOWN U12296, BP *714.72778*, RT 3.184	634189	Counts	134665	171350	140704	49172	142844	16950	35100	55240		48561	38017	59795	133268	22149	24794	188066	102863	83269	50151	128957	221471	219134	116488	96401	42344	56484	82614	55435	167704	243511
UNKNOWN U12299, BP *714.89413*, RT 3.185	634192	Counts			11611		36307	30589	28591	16539		33019	26304	16605	30191	44110	30149	22056	25121	41870		20835		24262	48436				26886	21028		
UNKNOWN U12307, BP *715.227*, RT 3.179	634200	Counts	22892		35505	26216	20271	21521	31411		77291	33382	21937	34183		30048	83064			14820	37831	70670	45402	51159	37155	36110		91303		60477		46286
UNKNOWN U12325, BP *717.59021*, RT 6.857	634218	Counts	659529	1203884	911685	1181107	1138274	1278591		1125371	488080	544050	290851	627159	755016	787212	632751	760821		738638	393161		937795	434090		445729	923918					128759
UNKNOWN U12326, BP *717.70692*, RT 2.932	634219	Counts	58840					16257				40947					205208	15061	127788			45682	41016		222069		38672	30422	201880			
UNKNOWN U12364, BP *723.69907*, RT 3.163	634257	Counts	10309	33673	16389	23168	18310	25194			43423		28026	42888	12956	16425				27261	34664	22023	53480	18006	46848	21645		13407		87464		
UNKNOWN U12379, BP *727.04177*, RT 6.599	634272	Counts	409777	501689	348762	598119	306574	1055808	849062	918464	221779		425206	337685	573196	1039042	418749	730401	355589	636189	357640	70639	1226408	878370	330830	1267890	1752795	938630	365660	1351879		445707
UNKNOWN U12401, BP *730.36035*, RT 3.22	634294	Counts	43956					14182	21832	34815		20599	49074	29012			36208	45819	78005	26031	55108	32152			44088	64122	80730				40238	28764
UNKNOWN U12428, BP *732.78923*, RT 6.893	634321	Counts	19302		15715	35356	26781	45627	40770		18639		29078		15958		17388	19484		18940	20730		24912	46294	49410	40684	60013			42073		41274
UNKNOWN U12447, BP *733.55982*, RT 7.0015	634340	Counts						11176665		5974266						7921013		5686855			6808372		15239571	14947278		12347249			14957256	16963617		19260140
UNKNOWN U12466, BP *734.8049*, RT 7.281	634359	Counts		63769	48394	51973	34819	45333	46329	93660	15916	61767	44143	45864			44897		24679	40446	37155	19851	52249	27547	48484	78443	60766		27893	42662		45387
UNKNOWN U12502, BP *742.53817*, RT 6.957	634395	Counts	5706631	5250522	4485132	6005235	4268101	6479206	5290983	5619417	1969648	3165764	3529707	5309699	5073796	6034958		5548910		5804229	3377039	614502	10840269	9630743	4683894	9676766	13040228	10426848	6550384	9685011	5335253	9432631
UNKNOWN U12510, BP *744.55491*, RT 6.658	634403	Counts	1050068	2004544	1213805	2344529	1279685	1944438	1077538	1864220	1415198	1359394	1666065	692158	709028	943989	742963	639676	298372	720812	592554	381215	1338120	1155078	1078250	1055343	1366811	929029	2007426	2225308	2077370	2271967
UNKNOWN U12529, BP *746.56434*, RT 7.2	634422	Counts	11030015	11325376		11792790	8225856	12240525		11498055		10362952	8916238	7566975	7044989	9684150		7995566		8481751	7222326		15110587	13062960		12491076	17382294		13163944	13649893	11602748	13743462
UNKNOWN U12587, BP *756.5548*, RT 6.586	634480	Counts	5739427	3035618	4748835	3808147	4626582	7887114	5116494	2936899	3583309	4179854			5411602			5541360														
UNKNOWN U12594, BP *757.55854*, RT 6.635	634487	Counts	1255946	1064571	749644	667016	522424	511039	1054928	1124716	255991	1286968	366363	648995	376116					330236	495714				672531			1201376	301610			328963
UNKNOWN U12605, BP *758.91232*, RT 6.952	634498	Counts	103701	293930		299485		293642		188506	153786	195769	170843	341898				142291		108193	274474		358081	204217	164427	163793	349647	203154	267284	177453		
UNKNOWN U12609, BP *759.14945*, RT 6.988	634502	Counts	135068	166428		136120	80296	215822		357866	290253	195140		192693	204698	326432	144737			359383			364973	298178	117214	115788	588381	280223	130862	146488		371295
UNKNOWN U12614, BP *759.57571*, RT 7.18	634507	Counts														12962042	909823		440727				16836892	15806852		14973337			13042221	14274022		16447329
UNKNOWN U12621, BP *760.58578*, RT 4.539	634514	Counts	415782	1153006	190131		5284101	2011206	410168	1218052	13845561	798829					2044159		213454		11703028	430094		591707				626479		1590483	1329048	
UNKNOWN U12686, BP *765.51801*, RT 6.038	634579	Counts	511217	896838	885768	961527		1283670	1271885	1103300		635209	750885	756019	280154	1328894		909311	831229	943221		62104	772392	1817531		1559880	2414043	1728131	486299	1668044	503120	1197249
UNKNOWN U12717, BP *769.0747*, RT 3.233	634610	Counts					77865		49473		37662	61473	65496	106064				99111	120866	37728	72807	77443	67894		189448	134750			104459			155361
UNKNOWN U12737, BP *770.57042*, RT 7.036	634630	Counts	1578460	2528668	353161	1799611		2207517	1153939	2734753						3572879		1793941					10943068	4031445		3487695	5584180	1810382	375502	1251681	968196	871753
UNKNOWN U12738, BP *770.56995*, RT 6.7495	634631	Counts	3787613	2219352	554090	933364		1593938	1307770	3581056	4166629	4661918	3296785	2668134	17805807	1401550	4004560	1704791	1262928	8433726	6575859	3363180		4661935	1803136				972949		1107322	1176087
UNKNOWN U12796, BP *778.54211*, RT 6.493	634689	Counts	11749546	11507397	10399127	12588538	6013661	12336452	12387814	12367238	5598747	12039777	5928370	6175432	4937997	6387634	4942019	6203792	5851430	5795364	4441924	3324882	4852094	5815174	3937003	6115828	5823714	5989460	3478074	3909178	3733631	3380448
UNKNOWN U12802, BP *779.24088*, RT 3.18	634695	Counts	115736											90723			30593	112049	163859	88278					216647					117657	48656	62856
UNKNOWN U12855, BP *783.15801*, RT 6.932	634748	Counts	344267			431352		269828	161180	228610	191267	181695	115135	269221	385156	81539	324692	466880		199658	130745		244506	211770		225385	401473	296899		78176		122820
UNKNOWN U12861, BP *783.81507*, RT 6.949	634754	Counts	113339	78787		83758	112666	170701		307378		129530	38160	96465	39756	171107		145236		170314			108276	106670	88064		258635					65569
UNKNOWN U12862, BP *784.30862*, RT .7435	634755	Counts	207519	319387	104692	226318	172832	212929	76009	240933	139704	92677	167367	189966	314969	197885	120340	253091	119848	241481	175308	136457	253570	323580	100948	344705	417242	110783	188886	159217	138019	294797
UNKNOWN U12887, BP *787.53061*, RT 6.556	634780	Counts	433019	257849		454383		422768		175513					321681	556052		441440		577347			603230	610622		707526	248871		449976		351789	
UNKNOWN U12954, BP *794.04914*, RT 6.5545	634847	Counts	85177	26241		62851	47954	75526	83222	155430			19457	35346		89725		87836	65606	85240		32115	39606	140547	23549	41852	72847		40796	44277		
UNKNOWN U13008, BP *798.79863*, RT .4375	634901	Counts	45474	28990	54132	37268	28516	51584	59472	47892	5432	52772	39563	49925	57271	58236	39055	50395	65395	37464	57662	71431	39143	35316	39061	55761	47806	38207	7757	38046	39212	45900
UNKNOWN U13032, BP *804.79608*, RT 6.9455	634925	Counts	41940		67279	42386			97363	57556	26758			33086		43588				26455		58130			46561	33782	38965	25944	34216			27774
UNKNOWN U13035, BP *805.56036*, RT 6.461	634928	Counts				324525	74050	201638							55615	113394				112614			50148			73147	223529			15547		
UNKNOWN U13061, BP *808.83027*, RT 7.073	634954	Counts		34110			76907	107001	47924		61351	39973	83057	51278		48021			55924	30778				64866		61862		107752		42407	260486	
