Metabolite name	Local ID	Units	S00008979	S00008980	S00008981	S00008982	S00008983	S00008984	S00008985	S00008986	S00008987	S00008988	S00008989	S00008990	S00008991	S00008992	S00008993	S00008994	S00008995	S00008996	S00008997	S00008998	S00008999	S00009000	S00009001	S00009002	S00009003	S00009004	S00009005	S00009006	S00009007	S00009008
UNKNOWN 08147 BP *479.26009*, RT 3.93908	758461	Counts	62511			27011	33628	37298							69882	70621		92151		28729		25425	29772	24433	35294	39738	68547					70899
UNKNOWN 08152 BP *639.40632*, RT 4.02381	758466	Counts	18855047	19582990		15084885	16777811			22167869	15384118	20240657	22218209	18685260	17870864		19265196		18855882		17102096	16144054			19636019		27964614		9060883	10867636	8829165	
UNKNOWN 08154 BP *632.47216*, RT 3.97473	758468	Counts	58932	112010	63779	101360	47368	82828	76120	113196	29280	52154			73698	125200				95281			64264	40954					20768			
UNKNOWN 08155 BP *449.28564*, RT 3.9784	758469	Counts	457072	505000	29307	497776	375621	535085	29459	618858	366279	464512	524751	556306	418458	604651	35087	612234	28928	480455	427149	40018	502663	51752	404198	701696	724728	604947	425098	368132	290982	43962
UNKNOWN 08156 BP *581.36396*, RT 3.97782	758470	Counts	1363762	1694029	1218543	1547388	1236364	1565770	1438954	1747199	1257726	1242699	1072995	1538916	1285772	1555663	1137040	1621507	1416639	1453092	1119405	1103660	1354888	1612090	1161947	1762492	1752399	1429293	1227254	1047644	764311	1406381
UNKNOWN 08157 BP *537.33764*, RT 3.98099	758471	Counts	1207743	1233334	1081247	1276467	988136	1446202	1229674	1474015	987921	1007300	1249282	1426430	1132547	1366554	984327	1366328	1125034	1180474	1027532	942585	1195278	1363732	943332	1536049	1561300	1318477	698671	1601871	720559	1331180
UNKNOWN 08160 BP *632.29152*, RT 3.97876	758474	Counts	17002		20830		39482	13518							29004		9043	67990	69356	127847		67457	93962	40078	17429					11826		29593
UNKNOWN 08163 BP *608.29128*, RT 3.98735	758477	Counts	9223	30333	36913			41543		31622		14015						13643				5996			11229		23387					
UNKNOWN 08164 BP *540.30436*, RT 3.98819	758478	Counts	142113	211279	177793	100389	68590	202379	170824	168378	88278	95282		37598	63117	76641	23743	65888		9866		33233	40932	60152	21171	7389	89524	41286	5356	7102	12631	27553
UNKNOWN 08166 BP *544.38444*, RT 3.99847	758480	Counts		13360	13209	76667	38102	71870		87124	37172		43129		25343		28323	76603			37208					47307	87084	39847		32790		
UNKNOWN 08168 BP *268.21175*, RT 2.65542	758482	Counts	61956	50571	41508	43975	22055	47222	45057	56649	49532	32540	54315	42492	52143	59343	56039	41578	64232	36328	46142	69590	39061	48042	66602	41041	50618	34702	51199	49062	57417	40518
UNKNOWN 08170 BP *74.09795*, RT 2.67234	758484	Counts				79260		71766		97027	67615	41688	113969	56981	158446	133947	168430	69468		60342	88336	57183	75674	125245	87071	92581	305190	188444	60105	85344	139626	49501
