Local ID	Metabolite Name	Kegg ID	Units	S00010701	S00010702	S00010703	S00010704	S00010705	S00010706
775736	ARACHIDONOYLGLYCEROPHOSPHOINOSITOL (*)	M05350	Counts	2910058	220801	992710	598807	13338386	42389911
802927	ARACHIDONOYLGLYCEROPHOSPHOINOSITOL (*)	M05350	Counts	2910058	220801	992710	598807	13338386	42389911
770820	ARGININE	C02385	Counts				12885906		
771120	ASPARAGINE	C16438	Counts				313168	1371463	1326036
771119	ASPARTATE	C16433	Counts	2003380	1081335	1924867	1046470	7189966	8074405
771243	AZELAIC ACID	C08261	Counts	4607561		414370	431102	415017	
771080	B-ALANYL-N(PAI)-METHYL-L-HISTIDINE	C01262	Counts	63941	271855				
770974	BENZOATE	C00180	Counts	212372	166517	204074	149558	17483	
771317	BENZOIN	C01408	Counts		26357				
771079	BILIVERDIN	C00500	Counts		34705	181005	60951		
770864	BIOTIN	C00120	Counts			31882		22256	
771043	BOC-A-(1-NAPHTHYLMETHYL)-DL-PRO-OH	CA1419	Counts				2140351		116935
771427	BOC-ALA-OH	CA1333	Counts	1023550	962314	918133	768725	261664	196133
771175	BOC-ASN	BOCASN	Counts	51143107	40582918	56264104	38767629	23557194	19460013
771273	BOC-ASN	C01410	Counts	51075750	40445468	56246148	38757273	23552096	19460013
775185	BOC-ASP-OH	CA1350	Counts	30992058	25457991	27244733	20361092	13607752	8740018
770818	BOC-HIS-OH	CA1336	Counts				54317		
771433	BOC-HIS-OH	U05453	Counts	81616					
771122	BOC-MET-OH	CA1332	Counts				28470	44109	
771306	BOC-PHE-OH	CA1334	Counts	33623798	27675532	33968164	25317081	16777740	12914501
771431	BOC-PRO-OH	CA1335	Counts	25494				21603	
771133	BOC-SER-OH	CA1423	Counts					401485	466883
771361	BOC-SER-OH	CA1423	Counts			97141		25573012	30501802
771091	CAPRYLIC ACID	C06423	Counts	197557	30206	316114	245389	621045	492909
771221	CARNOSINE	C00386	Counts	609584	764666	61874	250103	1795304	1346258
771089	CHENODEOXYCHOLATE	C02528	Counts		136510	454973	308747		
770971	CHOLATE	C00695	Counts		15727		101609		
778148	CHOLESTEROL (*)	C00187	Counts	75374		20212	77416	18020	
771353	CHOLESTEROL SULFATE	CA1523	Counts						14910192
818447	CHOLESTEROL SULFATE	CA1523	Counts	1266784	225924	2098409		117413153	
770985	CHOLINE PHOSPHATE	C00588	Counts	221704	122867	134519	294707	412434	3565521
771036	CINNAMIC ACID	C10438	Counts			44695			
776245	CINNAMOYLGLYCINE (*)	M00022	Counts			40691			38877
802931	CINNAMOYLGLYCINE (*)	M00022	Counts			40691			38877
778219	CINNAVALININATE (*)	C05640	Counts						51383
771151	CIS-7,10,13,16-DOCOSATETRAENOIC ACID	CA1260	Counts	10301529	5588602	8530918	6530482	142159140	345628540
771156	CITRATE	C00158	Counts	11860724	12963272	14485594	13791828	3415047	4526534
817500	CITRULLINE	C00327	Counts						37286
771309	CORTICOSTERONE	C02140	Counts		79366	608229	67520		
770892	CORTISOL	C00735	Counts		67128	42745	127528		
770874	CORTISOL 21-ACETATE	C02821	Counts		38336		78986		
771222	CORTISOL 21-ACETATE	C02821	Counts					914260	1126496
771039	CORTISONE	C00762	Counts	71561		96515	45151	559058	
770883	CREATINE	C00300	Counts	802516	946352	2576154	605898		1351484
771268	CYCLOHEPTANECARBOXYLIC ACID	C12104	Counts		25798	23948		32116	55372
771290	CYSTATHIONINE	C00542	Counts			201533	204041	495252	234479
771346	CYSTEIC ACID	C00506	Counts	326244			561996		
771404	CYSTINE	C01420	Counts	303639	280886	26143		369264	535942
771381	CYTIDINE	C00475	Counts	27687	61927	84009	25016	2683479	2985868
770904	CYTIDINE 5`-DIPHOSPHATE	C00112	Counts					23207	43588
770826	CYTIDINE 5`-DIPHOSPHOCHOLINE	C00307	Counts			30968			
771426	CYTIDINE 5`-DIPHOSPHOCHOLINE	C00307	Counts	92805	43226	65086	41330	59688	78910
770928	CYTIDINE 5`-MONOPHOSPHATE	C00055	Counts	75055		99946		2765061	3156656
771386	CYTIDINE 5`-TRIPHOSPHATE	C00063	Counts	18815		20503			23137
771418	CYTOSINE	C00380	Counts						57790
771435	D-GALACTOSAMINE	C02262	Counts	1029681	94221	442579	224895	6628400	7279880
771040	DECANOATE	C01571	Counts	280043	368939	446068	447568	3325754	2945537
771315	DEHYDROISOANDROSTERONE 3-SULFATE	C04555	Counts	315158	469896	111437	163434	460962	684345
771373	DEOXYRIBOSE	C01801	Counts		359905		307379		
771419	DEOXYURIDINE	C00526	Counts		21141	89276		87038	
771021	DETHIOBIOTIN	C01909	Counts					2642281	2156107
771320	DIETHYL 2-METHYL-3-OXOSUCCINATE	C04067	Counts		22678				
771456	DIHEXOSE	CA1495	Counts	129833	222417	169185	296084	93169	125105
771466	DIHEXOSE	CA1495	Counts					23685	
773539	DIHOMO-LINOLEATE (*)	C16525	Counts	2539579	391851	613530	1032824	45574296	58427357
774630	DIHOMO-LINOLENATE (*)	C03242	Counts	3309478	372424	3279718	1708255	139947966	308502613
770997	DIHYDROXYACETONE PHOSPHATE	C00111	Counts			352280			
817721	DIMETHYLURATE (*)	C16356	Counts					163415	
818497	DIMETHYLURATE (*)	C16356	Counts					103610	
817855	DIMETHYLXANTHINE	CA1507	Counts	421267	240364	1772217	353043		
818465	DOCOSADIENOATE (*)	C16533	Counts	359214					
817965	DOCOSAPENTAENOATE (*)	C16513	Counts	3950246	375916	1015406	1352665	200327476	514041625
777951	DODECANEDIOATE (*)	C02678	Counts	248061		489927	181162		
774990	DODECENOATE (*)	M05347	Counts		95657	227092	186286	2221293	3034437
802924	DODECENOATE (*)	M05347	Counts		95657	227092	186286	2221293	3034437
776196	DOPAMINE 3-O-SULFATE (*)	C13690	Counts	146222	119774	734577	243286	11111857	11297132
770857	EDTA	C00284	Counts	251286	422868	163912	227289	27778	
817091	ESTRONE GLUCURONIDE (*)	C11133	Counts	51745		117878	29658		
771096	ETHANOLAMINE PHOSPHATE	C00346	Counts	128602					170424
771125	FERULATE	C01494	Counts	20432		21826		205390	252697
771195	FLAVIN ADENINE DINUCLEOTIDE	C00016	Counts	378990	83809	728343	81277	1091237	2021641
771051	FOLIC ACID	C00504	Counts						28819
771365	FORMYL-L-METHIONINE	C03145	Counts	456953	238900	526469	119450	2462743	2405187
775206	FORMYLANTHRANILATE (*)	C05653	Counts					30229	23154
771220	FRUCTOSE 1,6-BIPHOSPHATE	C00354	Counts	180765	82651	188622	113686	343798	517990
770872	FUMARIC ACID	C00122	Counts		144972		36261		
771185	FUMARIC ACID	C00122	Counts	2442038	1308058	2488924	1308409	3893283	4106318
770984	GAMMA-LINOLENIC ACID	C06426	Counts	423207	1504497		3590529	53389837	151997078
771457	GLUCONIC ACID	C00257	Counts	431422	378327	4047569	6081850	3456993	3930964
771392	GLUCOSAMINATE	C03752	Counts				22979		
770926	GLUCOSAMINE 6-PHOSPHATE	C00352	Counts					21323	
771385	GLUCOSAMINE 6-SULFATE	CA1422	Counts	31005			16058		
771302	GLUCURONOLACTONE	C02670	Counts	72437	48916		36919		165947
771454	GLUTAMIC ACID	C00302	Counts	11053407	5495495	10616310	4167786	21381481	22436093
771400	GLUTAMINE	C00303	Counts	4354881	3416879	3754236	2138883	7552270	8448526
770897	GLUTARATE	C00489	Counts		76576	148711	97397		
771394	GLUTATHIONE OXIDIZED	C00127	Counts	724313	319587	468196	223316		
771395	GLUTATHIONE REDUCED	C00051	Counts			69048			
771001	GLYCERIC ACID	C00258	Counts	67867	37169	113058	11245	163734	95235
771410	GLYCEROL PHOSPHATE	CA1512	Counts			52102		3558443	3134305
771464	GLYCEROL PHOSPHATE	CA1512	Counts	777437	1944606	133953	1353257	26490609	25405145
770870	GLYCOCHOLATE	C01921	Counts			292138			
771126	GLYCOCHOLATE	C01921	Counts	3239120	1724928	26604368	7465739	6467595	1263712
773314	GLYCODEOXYCHOLATE / GLYCOCHENODEOXYCHOLATE  (*)	C05464	Counts	1811914	1523299			1510351	
817313	GLYCODEOXYCHOLATE / GLYCOCHENODEOXYCHOLATE  (*)	C05464	Counts	11960508	8769494	45748884	5787672	9031325	4539173
771325	GLYCOLITHOCHOLIC ACID ETHYL ESTER	CA1349	Counts	30853			21544		
771351	GLYCOLITHOCHOLIC ACID ETHYL ESTER	CA1349	Counts		78957				
771239	GLYOXYLATE	C00048	Counts	119965	63839	172143	44387	223202	168947
770860	GUANIDINOACETATE	C00581	Counts					385252	437650
770886	GUANOSINE	C00387	Counts	1482151	1095664	2047643	766798	8274036	10839911
771049	GUANOSINE	C00387	Counts	29088		28382		419457	
770900	GUANOSINE 3`,5`-CYCLIC MONOPHOSPHATE	C00942	Counts					53139	
770931	GUANOSINE 5` MONOPHOSPHATE	C00144	Counts	250408	20973	48657	23925	719948	1481788
771004	GUANOSINE 5`-DIPHOSPHATE	C00035	Counts			30562			32961
771396	GUANOSINE 5`-DIPHOSPHO-D-MANNOSE	C00096	Counts					43560	33767
771024	GUANOSINE 5`-DIPHOSPHOGLUCOSE	C00394	Counts			27123			
771191	GUANOSINE 5`-TRIPHOSPHATE	C00044	Counts			11102			36384
771146	GULONIC ACID	C00800	Counts		59238	28827	74851	59383	55121
771152	HEPTADECANOATE	CA1365	Counts	1260148	658393	439769	956432	33033555	54324955
780267	HEPTADECENOATE (*)	M05360	Counts	272095	147753	169421	729256	18997626	19321848
802939	HEPTADECENOATE (*)	M05360	Counts	272095	147753	169421	729256	18997626	19321848
771316	HEPTANOIC ACID	CA1393	Counts	19096	107288	156572	122101	105229	124350
770909	HEXACOSANOIC ACID	CA1352	Counts	46386	46790				39359
776926	HEXADECANEDIOATE (*)	C19615	Counts		166126			963642	
771183	HEXANOATE	C01585	Counts	157031	179861	276494	182071	294023	275799
771459	HEXITOL	CA1510	Counts			583022	824766	26635467	25710545
771407	HEXOSE	C01381	Counts	2663947	15587483	7792960	17478611	7440903	8488729
771188	HIPPURATE	C01586	Counts	988278	741570	9601865	6213245	1060019	1241211
776219	HYDROXYACETAMINOPHEN SULFATE (*)	M05353	Counts	88334	87559	4254941	1519850	24365	46427
802930	HYDROXYACETAMINOPHEN SULFATE (*)	M05353	Counts	88334	87559	4254941	1519850	24365	46427
773589	HYDROXYDECANOATE (*)	M05343	Counts	293562	207039	365929	174966	181155	
802920	HYDROXYDECANOATE (*)	M05343	Counts	293562	207039	365929	174966	181155	
775076	HYDROXYISOVALERATE (*)	M05348	Counts	145235	33288		27692	420535	492447
802925	HYDROXYISOVALERATE (*)	M05348	Counts	145235	33288		27692	420535	492447
771417	HYPOTAURINE	C00519	Counts	49327					101375
771216	HYPOXANTHINE	C00262	Counts	161437			3152940		
771374	INDICAN	C08481	Counts	143709	204616		88977	139189	254323
770956	INDOLE-3-ACETAMIDE	C02693	Counts						24928
770917	INDOLE-3-ACETIC ACID	C00954	Counts	16327					
771132	INOSINE	C00294	Counts	1307028	496182	1977109	98201	12385776	
771177	INOSINE	C00294	Counts	15573872	8537266	22132494	4824256	81079924	
770907	INOSINE 5`-DIPHOSPHATE	C00104	Counts	71151	11292	29615	44512		24064
771376	INOSINE 5`-MONOPHOSPHATE	C00130	Counts	53261			24254	65800	
771287	KYNURENINE	C01718	Counts	213228	52481	225832	21461	106135	211284
817092	LACTATE	C01432	Counts	2544901			2616721	7873584	
773651	LACTOYLGLUTATHIONE (*)	C03451	Counts		35053	85626	74791	20853	
771111	LAURIC ACID	C02679	Counts	366838	1368022	317792	1508092	9358911	24202643
770962	LEUCENOL	C04771	Counts			37657			
771297	LEUCENOL	C04771	Counts			68974	107164		
769443	LEUKOTRIENE A4 (*)	C00909	Counts		119310	189215	191142	1153819	7327324
776365	LINOLEOYLGLYCEROPHOSPHOETHANOLAMINE (*)	M05354	Counts	1035226	294082	834717	694336	10081992	30969843
802932	LINOLEOYLGLYCEROPHOSPHOETHANOLAMINE (*)	M05354	Counts	1035226	294082	834717	694336	10081992	30969843
771101	LUMICHROME	C01727	Counts				37399	662493	997611
817600	LYSINE	C16440	Counts	620688	40462	73381	570143	416984	302509
771117	MALATE	C00711	Counts	18262800	9533811	19144486	9350687	24893897	25763059
770859	MALEIMIDE	C07272	Counts	8726973	7507411	7604847	6406927	2273203	1810619
771421	MALONATE	C00383	Counts	118530	69419	168615	54269	287507	132013
771102	METHIONINE	C01733	Counts	4152076	1789630	3818097	1365848	23788277	18485300
770930	METHYL BETA-D-GALACTOSIDE	C03619	Counts	29207				550491	768754
770841	METHYL INDOLE-3-ACETATE	CA1231	Counts					16666	
771184	METHYLMALONATE	C02170	Counts	195174	308909	203426	139004	306477	347354
771062	MONO-METHYL GLUTARATE	CA1015	Counts		63386				
770833	MYO-INOSITOL	C00137	Counts	56918	43454				145638
771405	MYO-INOSITOL	C00137	Counts	2532265	4215725	4920984	2601947	7844536	9178175
817126	MYO-INOSITOL	C00137	Counts	56877	43425				145629
817127	MYO-INOSITOL	C00137	Counts	2532265	4207432	4924469	2601947	7811624	9178175
771103	MYRISTIC ACID	C06424	Counts	873981	1622562	410562	5597518	84844256	274669344
771304	MYRISTOLEIC ACID	C08322	Counts	223813	413776	246398	1966442	13295080	41923161
771281	N(PAI)-METHYL-L-HISTIDINE	C01152	Counts	82070					57748
817482	N(PAI)-METHYL-L-HISTIDINE (*)	C01152	Counts	81768			87027		
771356	N,N`-DIACETYL-CYSTINE	CA1519	Counts			141168	27410	2129069	2370632
771007	N-ACETYL-D-GALACTOSAMINE 	C01132	Counts	2387841	668999	1167394	447776		
771455	N-ACETYL-D-HEXOSAMINE	C03136	Counts	2267039	589299	5197198	611838		
771299	N-ACETYL-D-TRYPTOPHAN	C03137	Counts	53943	40129	107006	42520	885295	469307
771008	N-ACETYL-DL-GLUTAMIC ACID	CA1454	Counts					264860	
770905	N-ACETYL-DL-METHIONINE	CA1210	Counts						55641303
771029	N-ACETYL-DL-METHIONINE	CA1210	Counts						469176
770908	N-ACETYL-L-ASPARTIC ACID	C01042	Counts	1414533	617146	2155807	1157630	6585100	6680516
771470	N-ACETYL-L-CYSTEINE	CE1310	Counts	225561	85609	214685	47260	1039304	1114434
770950	N-ACETYL-L-LEUCINE	C02710	Counts	85603	64852	60017	59415	31673	36190
770867	N-ACETYL-L-PHENYLALANINE	C03519	Counts	159777	98326	29033	57868	156998	112600
770822	N-ACETYLGLYCINE	CA1212	Counts	236767		208112		368143	372908
771157	N-ACETYLNEURAMINATE	C00270	Counts	607514	633163	739793	684343	536255	570545
770946	N-ALPHA-ACETYL-L-ASPARAGINE	CA1214	Counts					167089	
771198	N-ALPHA-ACETYL-L-LYSINE	CA1219	Counts	30295	20858	50146		28989	30690
770871	N-BENZYLOXYCARBONYLGLYCINE	C03710	Counts		23436	61163			
817900	N-BENZYLOXYCARBONYLGLYCINE	C03710	Counts	102142		428008	151863		11138
817901	N-BENZYLOXYCARBONYLGLYCINE	C03710	Counts	21402			49542		39093
771449	N-BOC-D-GLUCOSAMINE	CA1426	Counts					33856	78301
802776	N-CYCLOHEXYLSULFAMIC ACID	CA1328	Counts	19101					
817129	N-CYCLOHEXYLSULFAMIC ACID	CA1328	Counts	19101					
771378	N-ETHYLMALEIMIDE	C02441	Counts	59212	55332	76656	32663	218813	312978
770889	N-METHYLTRYPTAMINE	C06213	Counts	85126					
817817	N-OLEOYLGLYCINE	CA1254	Counts					1621807	815240
704609	N2-SUCCINYL-L-GLUTAMATE (*)	C05931	Counts	771057	135110	414891	86565		
771140	NADP	C00006	Counts					186145	20883
771154	NICOTINAMIDE	C00153	Counts			365389	105530	2891997	3684581
771398	NICOTINAMIDE ADENINE DINUCLEOTIDE	C00003	Counts	53179		334145	22654	5044796	5831292
771399	NICOTINAMIDE ADENINE DINUCLEOTIDE	C00003	Counts	246742	94551	1707922	160588	26483405	29751385
780488	NONADECANOATE / METHYLSTEARATE (*)	C16535	Counts	306420			104386	2166696	6271879
