database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	20180928_QC_14	20180928_QC_13	20180928_QC_16	20180928_QC_15	20180928_R087	20180928_R120	20180928_R089	20180928_R083	20180928_R084	20180928_R085	20181002_QC_11	20180928_R086	20181002_QC_10	20180928_QC_18	20180928_QC_17	20180928_R080	20180928_R081	20180928_QC_19	20181002_QC_09	20180928_R098	20180928_R099	20180928_R095	20180928_R097	20180928_R090	20180928_R091	20180928_R092	20180928_R093	20180924_R042	20180924_R041	20180924_R044	20180924_R046	20180924_R045	20180924_R048	20180924_R047	20180924_R050	20180924_R020	20180924_R024	20180924_R023	20180924_R026	20180924_R025	20180924_R028	20180924_R029	20180924_QC_20	20180924_QC_21	20180924_R031	20180924_R030	20180924_R033	20180924_R032	20180924_R035	20180924_QC_17	20180924_R037	20180924_QC_18	20180924_QC_19	20180924_R039	20180924_R038	20180924_QC_13	20180924_QC_14	20180924_QC_15	20180924_QC_16	20180924_R001	20180928_R107	20180928_R108	20180928_R109	20180928_R069	20180928_R102	20180928_R103	20180928_R104	20180928_R105	20180928_R066	20180928_R067	20180928_R100	20180928_R068	20180928_R101	20180924_R004	20180928_R062	20180924_R006	20180928_R063	20180924_R005	20180928_R064	20180924_R008	20181002_R060	20180924_R007	20180924_R009	20181002_R061	20180924_R011	20180924_R010	20180924_R013	20180924_R012	20180928_R118	20180928_R119	20180928_R114	20180928_R115	20180928_QC_21	20180928_R076	20180928_QC_20	20181002_R056	20180928_R077	20180928_R110	20180928_QC_23	20180928_R078	20180928_R111	20180928_QC_22	20180928_R112	20180924_R015	20181002_R053	20180928_R072	20180924_R014	20181002_R052	20180928_R073	20180924_R017	20181002_R055	20180924_R016	20181002_R054	20180928_R075	20180924_R019	20180924_R018	20181002_R051	20180928_R070	20180928_R071
CHEBI:83051	C19H36O2	CCCCCCCC\C=C/CCCCCCCCC(O)=O	"InChI=1S/C19H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21/h9-10H,2-8,11-18H2,1H3,(H,20,21)/b10-9-"	10Z-Nonadecenoic acid	295.2642885		M-H	1	1.102666667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	49																																																																																																																										
CHEBI:88639	C15H22O3	CCCCC(CC)COC(C1=CC=CC=C1O)=O	"InChI=1S/C15H22O3/c1-3-5-8-12(4-2)11-18-15(17)13-9-6-7-10-14(13)16/h6-7,9-10,12,16H,3-5,8,11H2,1-2H3"	Ethylhexyl salicylate	249.1512059		M-H	1	1.013283333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	47.5																																																																																																																										
CHEBI:27432	C18H30O2	CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O	"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h3-4,6-7,9-10H,2,5,8,11-17H2,1H3,(H,19,20)/b4-3-,7-6-,10-9-"	Alpha-Linolenic acid	555.4430002		2M-H	1	1.093516667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	47.2																																																																																																																										
CHEBI:43355	C8H7NO4S	OS(=O)(=O)Oc1c[nH]c2ccccc12	"InChI=1S/C8H7NO4S/c10-14(11,12)13-8-5-9-7-4-2-1-3-6(7)8/h1-5,9H,(H,10,11,12)"	Indoxyl sulfate	212.0031206		M-H	1	0.77765	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	48.9																																																																																																																										
CHEBI:69188	C19H38O2	C(=O)(OC)CCCCCCCCCCCCCCCCC	"InChI=1S/C19H38O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h3-18H2,1-2H3"	Methyl stearate	297.2790832		M-H	1	1.093516667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	45.8																																																																																																																										
CHEBI:88592	C13H20	CCCCCCCC1=CC=CC=C1	"InChI=1S/C13H20/c1-2-3-4-5-7-10-13-11-8-6-9-12-13/h6,8-9,11-12H,2-5,7,10H2,1H3"	1-Phenylheptane	221.1540826		M+FA-H	1	1.139216667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	46.6																																																																																																																										
CHEBI:88639	C15H22O3	CCCCC(CC)COC(C1=CC=CC=C1O)=O	"InChI=1S/C15H22O3/c1-3-5-8-12(4-2)11-18-15(17)13-9-6-7-10-14(13)16/h6-7,9-10,12,16H,3-5,8,11H2,1-2H3"	Ethylhexyl salicylate	249.148174		M-H	1	19.82516667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	44.8																																																																																																																										
CHEBI:145970	C22H40O2	C(CCCCCCCCC(O)=O)CC/C=C/C/C=C/CCCCC	"InChI=1S/C22H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h6-7,9-10H,2-5,8,11-21H2,1H3,(H,23,24)/b7-6+,10-9+"	Docosadienoate (22:2n6)	357.2792716		"M-H, M+Na-2H"	1	1.093516667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	44.3																																																																																																																										
CHEBI:15864	C15H10O6	Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(O)c(O)c1	"InChI=1S/C15H10O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-6,16-19H"	Luteolin	267.0295504		M-H2O-H	1	11.12785	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	43.7																																																																																																																										
CHEBI:89658	C8H10O8	CC(=O)OC(=O)CC(O)(CC(=O)O)C(=O)O	"InChI=1S/C8H10O8/c1-4(9)16-6(12)3-8(15,7(13)14)2-5(10)11/h15H,2-3H2,1H3,(H,10,11)(H,13,14)"	Acetyl citrate	269.0088755		M+Cl	1	11.12785	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	41																																																																																																																										
