database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	20180817_R030	20180817_R031	20180817_R032	20180817_R033	20180817_R035	20180817_R037	20180817_R038	20180817_R039	20180817_QC_19	20180817_QC_18	20180817_QC_11	20180817_R020	20180817_QC_13	20180817_QC_12	20180817_R023	20180817_QC_15	20180817_R024	20180817_QC_14	20180817_R025	20180817_QC_17	20180817_R026	20180817_QC_16	20180817_R028	20180817_R029	20180817_QC_20	20180821_QC_18	20180821_QC_17	20180817_R050	20180817_R051	20180821_QC_19	20180817_R052	20180817_R053	20180817_R054	20180817_R055	20180817_R056	20180821_QC_20	20180817_R041	20180817_R042	20180817_R044	20180817_R045	20180817_R046	20180817_R047	20180817_R048	20180821_QC_14	20180821_QC_13	20180821_QC_16	20180821_QC_15	20180821_QC_12	20180821_QC_11	20180821_R080	20180821_R081	20180821_R084	20180821_R083	20180821_R086	20180821_R085	20180821_R087	20180821_R120	20180821_R089	20180821_R091	20180821_R090	20180821_R093	20180821_R092	20180817_R060	20180821_R095	20180817_R061	20180821_R097	20180821_R099	20180821_R098	20180821_R062	20180821_R064	20180821_R063	20180817_R010	20180817_R011	20180817_R012	20180817_R013	20180817_R014	20180817_R015	20180817_R016	20180817_R017	20180821_R107	20180817_R018	20180817_R019	20180821_R109	20180821_R108	20180821_R066	20180821_R068	20180821_R101	20180821_R067	20180821_R100	20180821_R103	20180821_R069	20180821_R102	20180821_R105	20180828_R_075	20180821_R104	20180821_R071	20180821_R070	20180821_R073	20180821_R072	20180817_R001	20180817_R004	20180817_R005	20180817_R006	20180821_R118	20180817_R007	20180817_R008	20180817_R009	20180821_R119	20180821_R077	20180821_R110	20180821_R076	20180821_R112	20180821_R078	20180821_R111	20180821_R114	20180821_R115
CHEBI:88888	C23H38O7S	C1[C@H](C[C@@]2([C@](C1)([C@@]3([C@@](CC2)([C@]4(C([C@H](C3)O)[C@H](CC4)[C@@H](CCC(O)=O)C)[H])[H])[H])C)[H])OS(=O)(O)=O	"InChI=1S/C23H38O7S/c1-13(3-8-21(25)26)16-6-7-18-17-5-4-14-11-15(30-31(27,28)29)9-10-23(14,2)19(17)12-20(24)22(16)18/h13-20,22,24H,3-12H2,1-2H3,(H,25,26)(H,27,28,29)/t13-,14-,15-,16-,17+,18+,19+,20+,22?,23+/m1/s1"	3-Sulfodeoxycholic acid	459.2419607		M+H	1	8.156866667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	35.3																																																																																																																							
CHEBI:53508	C15H11I4NO7S	NC(Cc1cc(I)c(Oc2cc(I)c(OS(O)(=O)=O)c(I)c2)c(I)c1)C(O)=O	"InChI=1S/C15H11I4NO7S/c16-8-1-6(3-12(20)15(21)22)2-9(17)13(8)26-7-4-10(18)14(11(19)5-7)27-28(23,24)25/h1-2,4-5,12H,3,20H2,(H,21,22)(H,23,24,25)"	Thyroxine sulfate	839.6394018		M+H-H2O	1	12.70795	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37.1																																																																																																																							
CHEBI:28610	C26H52NO7P	O(C[C@H](O)COC(CCCCCCC/C=C\CCCCCCCC)=O)P(OCC[N+](C)(C)C)(=O)[O-]	"InChI=1S/C26H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h12-13,25,28H,5-11,14-24H2,1-4H3/b13-12-/t25-/m1/s1"	LysoPC(18:1(9Z))	522.3570424		"M+H-H2O, M+H"	1	8.68515	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	38.8																																																																																																																							
CHEBI:28610	C26H52NO7P	O(C[C@H](O)COC(CCCCCCC/C=C\CCCCCCCC)=O)P(OCC[N+](C)(C)C)(=O)[O-]	"InChI=1S/C26H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h12-13,25,28H,5-11,14-24H2,1-4H3/b13-12-/t25-/m1/s1"	LysoPC(18:1(9Z))	522.3567708		"M+H, M+Na"	1	8.4858	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	40.6																																																																																																																							
CHEBI:82846	C22H38O2			Docosatrienoic acid	357.2773159		M+Na	1	7.897983333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37.9																																																																																																																							
CHEBI:28623	C28H48O	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](C)C(C)C	"InChI=1S/C28H48O/c1-18(2)19(3)7-8-20(4)24-11-12-25-23-10-9-21-17-22(29)13-15-27(21,5)26(23)14-16-28(24,25)6/h9,18-20,22-26,29H,7-8,10-17H2,1-6H3/t19-,20-,22+,23+,24-,25+,26+,27+,28-/m1/s1"	Campesterol	439.3353776		M+K	1	10.6932	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	36.7																																																																																																																							
CHEBI:28623	C28H48O	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](C)C(C)C	"InChI=1S/C28H48O/c1-18(2)19(3)7-8-20(4)24-11-12-25-23-10-9-21-17-22(29)13-15-27(21,5)26(23)14-16-28(24,25)6/h9,18-20,22-26,29H,7-8,10-17H2,1-6H3/t19-,20-,22+,23+,24-,25+,26+,27+,28-/m1/s1"	Campesterol	439.3342986		M+K	1	10.32936667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37																																																																																																																							
CHEBI:28666	C25H40N2O6S	CCCCC\C=C/C\C=C/C=C/C=C/[C@@H](SC[C@H](N)C(=O)NCC(O)=O)[C@@H](O)CCCC(O)=O	"InChI=1S/C25H40N2O6S/c1-2-3-4-5-6-7-8-9-10-11-12-13-16-22(21(28)15-14-17-23(29)30)34-19-20(26)25(33)27-18-24(31)32/h6-7,9-13,16,20-22,28H,2-5,8,14-15,17-19,26H2,1H3,(H,27,33)(H,29,30)(H,31,32)/b7-6-,10-9-,12-11+,16-13+/t20-,21-,22+/m0/s1"	Leukotriene D4	479.2560862		M+H-H2O	1	8.104433333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	40.5																																																																																																																							
CHEBI:28374	C27H43NO	[H][C@]12CC[C@H](C)CN1[C@@]1([H])C[C@@]3([H])[C@]4([H])CC=C5C[C@@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1([H])[C@@H]2C	"InChI=1S/C27H43NO/c1-16-5-8-23-17(2)25-24(28(23)15-16)14-22-20-7-6-18-13-19(29)9-11-26(18,3)21(20)10-12-27(22,25)4/h6,16-17,19-25,29H,5,7-15H2,1-4H3/t16-,17+,19-,20+,21-,22-,23+,24-,25-,26-,27-/m0/s1"	Solanidine	398.3412458		M+H	1	7.188	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	34.6																																																																																																																							
CHEBI:17401	C6H18O24P6	OP(O)(=O)O[C@@H]1[C@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1OP(O)(O)=O	"InChI=1S/C6H18O24P6/c7-31(8,9)25-1-2(26-32(10,11)12)4(28-34(16,17)18)6(30-36(22,23)24)5(29-35(19,20)21)3(1)27-33(13,14)15/h1-6H,(H2,7,8,9)(H2,10,11,12)(H2,13,14,15)(H2,16,17,18)(H2,19,20,21)(H2,22,23,24)/t1-,2-,3-,4+,5-,6-"	Myo-inositol hexakisphosphate	624.8492993		"M+H-2H2O, M+Na"	1	0.594316667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37.9																																																																																																																							
