database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	20180830_R008	20180830_R007	20180830_R006	20180830_R005	20180830_R009	20180830_R004	20180830_R001	20180903_R095	20180903_R097	20180903_R098	20180903_R099	20180903_QC_20	20180903_QC_21	20180903_R090	20180903_R091	20180903_R092	20180903_R093	20180903_QC_16	20180903_QC_17	20180903_QC_18	20180903_QC_19	20180903_QC_12	20180903_QC_13	20180830_R061	20180903_QC_14	20180830_R060	20180903_QC_15	20180830_R055	20180830_R054	20180830_R053	20180903_QC_11	20180830_R052	20180830_R056	20180830_R051	20180830_R050	20180903_R073	20180903_R075	20180903_R076	20180903_R077	20180903_R110	20180903_R078	20180903_R111	20180903_R112	20180830_R044	20180830_R042	20180830_R041	20180830_R048	20180830_R047	20180903_R070	20180830_R046	20180903_R071	20180830_R045	20180903_R072	20180903_R114	20180903_R115	20180903_R118	20180903_R119	20180830_QC_19	20180903_R084	20180903_R085	20180830_R039	20180903_R086	20180830_R038	20180903_R087	20180903_R120	20180903_R089	20180830_R033	20180830_R032	20180830_R031	20180830_R030	20180830_R037	20180903_R080	20180903_R081	20180830_R035	20180903_R083	20180830_QC_20	20180830_QC_21	20180830_R029	20180830_R028	20180830_R020	20180830_R026	20180830_R025	20180830_R024	20180830_R023	20180830_QC_15	20180830_QC_16	20180830_QC_17	20180830_QC_18	20180830_R019	20180903_R062	20180830_R018	20180903_R063	20180830_R017	20180903_R064	20180830_R016	20180903_R066	20180903_R067	20180903_R100	20180903_R068	20180903_R101	20180903_R069	20180903_R102	20180830_R011	20180830_R010	20180830_R015	20180830_R014	20180830_R013	20180830_R012	20180903_R103	20180903_R104	20180903_R105	20180903_R107	20180903_R108	20180903_R109
CHEBI:89627	C21H34O5	C1[C@H](C[C@]2([C@](C1)([C@@]3([C@@](CC2)([C@]4([C@](C[C@@H]3O)([C@](CC4)(C(=O)CO)O)C)[H])[H])[H])C)[H])O	"InChI=1S/C21H34O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h12-16,18,22-24,26H,3-11H2,1-2H3/t12-,13+,14-,15-,16-,18+,19-,20-,21-/m0/s1"	5-Tetrahydrocortisol	365.2329398		M-H	1	10.10315	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	57																																																																																																																					
CHEBI:37270	C14H26O3	CCCCCCCCCCCC(=O)CC(O)=O	"InChI=1S/C14H26O3/c1-2-3-4-5-6-7-8-9-10-11-13(15)12-14(16)17/h2-12H2,1H3,(H,16,17)"	3-Oxotetradecanoic acid	263.164509		M+Na-2H	1	6.88265	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	56.5																																																																																																																					
CHEBI:83054	C27H53O12P	CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(O)(=O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O	"InChI=1S/C27H53O12P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(29)37-18-20(28)19-38-40(35,36)39-27-25(33)23(31)22(30)24(32)26(27)34/h20,22-28,30-34H,2-19H2,1H3,(H,35,36)/t20-,22-,23-,24+,25-,26-,27-/m1/s1"	1-Stearoylglycerophosphoinositol	621.3037555		M+Na-2H	1	9.7136	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	56.4																																																																																																																					
CHEBI:28082	C27H48O3	[H][C@@]1(CC[C@@]2([H])[C@]3([H])C[C@@H](O)[C@@]4(O)C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C	"InChI=1S/C27H48O3/c1-17(2)7-6-8-18(3)21-9-10-22-20-15-24(29)27(30)16-19(28)11-14-26(27,5)23(20)12-13-25(21,22)4/h17-24,28-30H,6-16H2,1-5H3/t18-,19+,20+,21-,22+,23+,24-,25-,26-,27+/m1/s1"	"3b,5a,6b-Cholestanetriol"	419.3519787		M-H	1	12.80036667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	55																																																																																																																					
CHEBI:73722	C16H30O4	OC(=O)CCCCCCCCCCCCCCC(O)=O	"InChI=1S/C16H30O4/c17-15(18)13-11-9-7-5-3-1-2-4-6-8-10-12-14-16(19)20/h1-14H2,(H,17,18)(H,19,20)"	Hexadecanedioic acid	267.1962468		M-H2O-H	1	6.563016667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	57.2																																																																																																																					
CHEBI:16255	C6H11N3O	N[C@H](CO)Cc1c[nH]cn1	"InChI=1S/C6H11N3O/c7-5(3-10)1-6-2-8-4-9-6/h2,4-5,10H,1,3,7H2,(H,8,9)/t5-/m0/s1"	L-Histidinol	281.1753008		2M-H	1	12.35825	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	55.6																																																																																																																					
CHEBI:88639	C15H22O3	CCCCC(CC)COC(C1=CC=CC=C1O)=O	"InChI=1S/C15H22O3/c1-3-5-8-12(4-2)11-18-15(17)13-9-6-7-10-14(13)16/h6-7,9-10,12,16H,3-5,8,11H2,1-2H3"	Ethylhexyl salicylate	295.1551189		M+FA-H	1	7.388333333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	57.1																																																																																																																					
CHEBI:64561	C26H54NO7P	[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		LysoPC(18:0)	558.3326523		M+Cl	1	9.323783333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	54.6																																																																																																																					
CHEBI:15655	C18H32O4	CCCCC[C@H](OO)\C=C\C=C/CCCCCCCC(O)=O	"InChI=1S/C18H32O4/c1-2-3-11-14-17(22-21)15-12-9-7-5-4-6-8-10-13-16-18(19)20/h7,9,12,15,17,21H,2-6,8,10-11,13-14,16H2,1H3,(H,19,20)/b9-7-,15-12+/t17-/m0/s1"	13-L-Hydroperoxylinoleic acid	333.2059056		M+Na-2H	1	6.661666667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	56.2																																																																																																																					
CHEBI:145973	C15H22O	O=C(CCCCCCCC)C1=CC=CC=C1	"InChI=1S/C15H22O/c1-2-3-4-5-6-10-13-15(16)14-11-8-7-9-12-14/h7-9,11-12H,2-6,10,13H2,1H3"	N-Octyl phenyl ketone	263.1661041		M+FA-H	1	7.591833333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	56.4																																																																																																																					
CHEBI:17687	C26H43NO6	C[C@H](CCC(=O)NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	"InChI=1S/C26H43NO6/c1-14(4-7-22(31)27-13-23(32)33)17-5-6-18-24-19(12-21(30)26(17,18)3)25(2)9-8-16(28)10-15(25)11-20(24)29/h14-21,24,28-30H,4-13H2,1-3H3,(H,27,31)(H,32,33)/t14-,15+,16-,17-,18+,19+,20-,21+,24+,25+,26-/m1/s1"	Glycocholic acid	446.2899931		M-H2O-H	1	6.173483333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	55.5																																																																																																																					
CHEBI:64563	C24H50NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		LysoPC(16:0)	530.3019428		M+Cl	1	8.347383333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	54.7																																																																																																																					
CHEBI:48131	C9H16O4	OC(=O)CCCCCCCC(O)=O	"InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)"	Azelaic acid	187.097649		M-H	1	4.418016667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	57.7																																																																																																																					
CHEBI:89188	C14H22O	OC1=CC=C(C(C)(C)C)C=C1C(C)(C)C	"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3"	"2,4-Di-tert-butylphenol"	249.1508975		M+FA-H	1	7.452033333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	56.6																																																																																																																					
CHEBI:89233	C45H90N2O6P	O(P(O)(=O)OCC[N+](C)(C)C)C[C@]([C@](\C=C\CCCCCCCCCCC)([H])O)([H])NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O	"InChI=1S/C45H89N2O6P/c1-6-8-10-12-14-16-18-19-20-21-22-23-24-25-26-27-29-31-33-35-37-39-45(49)46-43(42-53-54(50,51)52-41-40-47(3,4)5)44(48)38-36-34-32-30-28-17-15-13-11-9-7-2/h19-20,36,38,43-44,48H,6-18,21-35,37,39-42H2,1-5H3,(H-,46,49,50,51)/p+1/b20-19-,38-36+/t43-,44+/m0/s1"	SM(d16:1/24:1(15Z))	806.6273857		M+Na-2H	1	9.323783333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	54.7																																																																																																																					
CHEBI:16750	C10H13N5O5	Nc1nc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	"InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1"	Guanosine	282.0842342		M-H	1	2.412816667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	57.2																																																																																																																					
CHEBI:82679	C24H38O4	C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1(C)CC[C@@H](O)C[C@H]1CC3=O	"InChI=1S/C24H38O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-19,22,25H,4-13H2,1-3H3,(H,27,28)/t14-,15+,16-,17-,18+,19+,22+,23+,24-/m1/s1"	Nutriacholic acid	411.2411461		"M-H, M+Na-2H"	1	12.63165	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	52.8																																																																																																																					
CHEBI:89750	C8H12O	CCCCC1=CC=CO1	"InChI=1S/C8H12O/c1-2-3-5-8-6-4-7-9-8/h4,6-7H,2-3,5H2,1H3"	2-Butylfuran	247.1691244		2M-H	1	10.10315	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	56.7																																																																																																																					
CHEBI:89750	C8H12O	CCCCC1=CC=CO1	"InChI=1S/C8H12O/c1-2-3-5-8-6-4-7-9-8/h4,6-7H,2-3,5H2,1H3"	2-Butylfuran	247.1689398		2M-H	1	8.399816667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	56.8																																																																																																																					
CHEBI:88921	C14H22O	CCC(/C=C/C1=C(C)CCCC1(C)C)=O	"InChI=1S/C14H22O/c1-5-12(15)8-9-13-11(2)7-6-10-14(13,3)4/h8-9H,5-7,10H2,1-4H3/b9-8+"	"1-(2,6,6-Trimethyl-1-cyclohexen-1-yl)-1-penten-3-one"	205.1604119		M-H	1	9.411266667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	57.4																																																																																																																					
